Name;Score;ImageNumber;X;Y;Width;Height
HOG(RGB)+SURF(RGB);12.409188;5096;104;120;32;64
HOG(RGB)+SURF(RGB);11.979095;5808;48;119;32;64
HOG(RGB)+SURF(RGB);11.832254;244;216;160;96;192
HOG(RGB)+SURF(RGB);11.714309;4748;808;176;32;64
HOG(RGB)+SURF(RGB);11.679838;3764;852;160;48;96
HOG(RGB)+SURF(RGB);11.636848;424;1176;256;48;96
HOG(RGB)+SURF(RGB);11.570736;1384;48;119;32;64
HOG(RGB)+SURF(RGB);11.492639;6020;1032;168;32;64
HOG(RGB)+SURF(RGB);11.438067;2444;1104;192;64;128
HOG(RGB)+SURF(RGB);11.434590;1580;832;144;64;128
HOG(RGB)+SURF(RGB);11.433155;1568;48;119;32;64
HOG(RGB)+SURF(RGB);11.401484;3252;840;160;32;64
HOG(RGB)+SURF(RGB);11.393200;6992;160;240;32;64
HOG(RGB)+SURF(RGB);11.362344;5668;1008;196;48;96
HOG(RGB)+SURF(RGB);11.359092;5708;804;244;48;96
HOG(RGB)+SURF(RGB);11.354874;240;744;200;32;64
HOG(RGB)+SURF(RGB);11.334918;4316;200;240;32;64
HOG(RGB)+SURF(RGB);11.290685;752;0;152;32;64
HOG(RGB)+SURF(RGB);11.271281;252;260;132;80;160
HOG(RGB)+SURF(RGB);11.265525;7460;176;192;32;64
HOG(RGB)+SURF(RGB);11.245926;2332;1000;172;80;160
HOG(RGB)+SURF(RGB);11.235465;4172;712;176;32;64
HOG(RGB)+SURF(RGB);11.209265;4700;732;160;48;96
HOG(RGB)+SURF(RGB);11.168906;5032;1176;196;48;96
HOG(RGB)+SURF(RGB);11.148326;2696;12;196;48;96
HOG(RGB)+SURF(RGB);11.141323;3144;924;160;48;96
HOG(RGB)+SURF(RGB);11.136541;3800;856;144;32;64
HOG(RGB)+SURF(RGB);11.113668;4376;960;152;80;160
HOG(RGB)+SURF(RGB);11.066874;6084;952;152;32;64
HOG(RGB)+SURF(RGB);11.058276;4204;272;168;32;64
HOG(RGB)+SURF(RGB);11.051966;3440;1128;272;32;64
HOG(RGB)+SURF(RGB);11.011691;3076;840;184;32;64
HOG(RGB)+SURF(RGB);10.984294;5084;1072;120;32;64
HOG(RGB)+SURF(RGB);10.978233;6368;32;136;32;64
HOG(RGB)+SURF(RGB);10.946430;5720;872;248;32;64
HOG(RGB)+SURF(RGB);10.929029;6964;1128;160;32;64
HOG(RGB)+SURF(RGB);10.916661;6048;216;160;32;64
HOG(RGB)+SURF(RGB);10.903087;1120;656;168;32;64
HOG(RGB)+SURF(RGB);10.896026;3756;1144;240;32;64
HOG(RGB)+SURF(RGB);10.887691;2160;60;184;48;96
HOG(RGB)+SURF(RGB);10.878222;1416;648;208;32;64
HOG(RGB)+SURF(RGB);10.862360;4316;192;220;48;96
HOG(RGB)+SURF(RGB);10.861254;2408;588;158;48;96
HOG(RGB)+SURF(RGB);10.860054;4148;880;160;32;64
HOG(RGB)+SURF(RGB);10.843630;7408;588;158;48;96
HOG(RGB)+SURF(RGB);10.841154;7228;848;128;32;64
HOG(RGB)+SURF(RGB);10.831228;3284;712;208;32;64
HOG(RGB)+SURF(RGB);10.830822;2440;1096;248;32;64
HOG(RGB)+SURF(RGB);10.815825;7436;1168;287;32;64
HOG(RGB)+SURF(RGB);10.807000;5588;1016;168;32;64
HOG(RGB)+SURF(RGB);10.806744;4784;1040;176;32;64
HOG(RGB)+SURF(RGB);10.799830;6228;432;159;32;64
HOG(RGB)+SURF(RGB);10.798371;5504;72;111;32;64
HOG(RGB)+SURF(RGB);10.798336;7160;996;196;48;96
HOG(RGB)+SURF(RGB);10.798161;7160;728;184;32;64
HOG(RGB)+SURF(RGB);10.796304;5912;0;136;32;64
HOG(RGB)+SURF(RGB);10.796265;6368;120;152;32;64
HOG(RGB)+SURF(RGB);10.795003;6396;1064;151;32;64
HOG(RGB)+SURF(RGB);10.761596;3536;1192;216;32;64
HOG(RGB)+SURF(RGB);10.750717;5132;880;280;32;64
HOG(RGB)+SURF(RGB);10.750240;2444;780;184;48;96
HOG(RGB)+SURF(RGB);10.747259;3860;1032;112;32;64
HOG(RGB)+SURF(RGB);10.743589;3192;888;184;32;64
HOG(RGB)+SURF(RGB);10.738416;5792;72;160;32;64
HOG(RGB)+SURF(RGB);10.736230;364;464;128;32;64
HOG(RGB)+SURF(RGB);10.732011;856;1000;152;80;160
HOG(RGB)+SURF(RGB);10.725697;5280;1160;304;32;64
HOG(RGB)+SURF(RGB);10.699611;1412;832;176;64;128
HOG(RGB)+SURF(RGB);10.681772;1216;876;268;48;96
HOG(RGB)+SURF(RGB);10.664242;2248;1104;232;48;96
HOG(RGB)+SURF(RGB);10.652101;192;32;168;32;64
HOG(RGB)+SURF(RGB);10.632160;2140;424;184;32;64
HOG(RGB)+SURF(RGB);10.630494;2332;936;164;104;208
HOG(RGB)+SURF(RGB);10.621345;1160;48;119;32;64
HOG(RGB)+SURF(RGB);10.621246;5240;1072;175;32;64
HOG(RGB)+SURF(RGB);10.612802;352;704;168;32;64
HOG(RGB)+SURF(RGB);10.561070;4996;912;263;32;64
HOG(RGB)+SURF(RGB);10.550404;1856;784;256;32;64
HOG(RGB)+SURF(RGB);10.544388;6372;832;232;32;64
HOG(RGB)+SURF(RGB);10.542469;4260;776;240;32;64
HOG(RGB)+SURF(RGB);10.529222;808;0;200;32;64
HOG(RGB)+SURF(RGB);10.528482;4324;304;232;32;64
HOG(RGB)+SURF(RGB);10.521281;1248;376;200;32;64
HOG(RGB)+SURF(RGB);10.519573;1036;616;183;32;64
HOG(RGB)+SURF(RGB);10.517075;4568;1000;240;32;64
HOG(RGB)+SURF(RGB);10.508204;3284;1064;152;32;64
HOG(RGB)+SURF(RGB);10.502851;7136;936;296;32;64
HOG(RGB)+SURF(RGB);10.501471;4416;1144;160;32;64
HOG(RGB)+SURF(RGB);10.493103;2276;288;144;32;64
HOG(RGB)+SURF(RGB);10.483490;1368;1116;220;48;96
HOG(RGB)+SURF(RGB);10.478703;564;256;200;32;64
HOG(RGB)+SURF(RGB);10.478281;5516;632;208;32;64
HOG(RGB)+SURF(RGB);10.474819;3488;24;152;32;64
HOG(RGB)+SURF(RGB);10.463822;5052;416;168;32;64
HOG(RGB)+SURF(RGB);10.455639;5624;192;232;32;64
HOG(RGB)+SURF(RGB);10.448086;5148;512;168;32;64
HOG(RGB)+SURF(RGB);10.448030;856;624;192;32;64
HOG(RGB)+SURF(RGB);10.429575;3284;976;216;32;64
HOG(RGB)+SURF(RGB);10.423204;1540;88;159;32;64
HOG(RGB)+SURF(RGB);10.412856;4388;1080;148;48;96
HOG(RGB)+SURF(RGB);10.410545;7432;1020;184;48;96
HOG(RGB)+SURF(RGB);10.409707;5652;336;168;32;64
HOG(RGB)+SURF(RGB);10.409589;1144;1016;288;32;64
HOG(RGB)+SURF(RGB);10.407668;4208;304;240;32;64
HOG(RGB)+SURF(RGB);10.407125;5768;976;192;64;128
HOG(RGB)+SURF(RGB);10.403836;4196;48;136;32;64
HOG(RGB)+SURF(RGB);10.403344;6760;928;272;32;64
HOG(RGB)+SURF(RGB);10.402724;5276;1092;232;48;96
HOG(RGB)+SURF(RGB);10.389523;4840;64;144;32;64
HOG(RGB)+SURF(RGB);10.388226;3956;980;152;80;160
HOG(RGB)+SURF(RGB);10.387645;5948;702;164;104;208
HOG(RGB)+SURF(RGB);10.383834;7388;856;200;32;64
HOG(RGB)+SURF(RGB);10.380762;1196;1088;224;32;64
HOG(RGB)+SURF(RGB);10.378685;6804;592;175;32;64
HOG(RGB)+SURF(RGB);10.370396;1984;432;159;32;64
HOG(RGB)+SURF(RGB);10.369376;4300;672;172;48;96
HOG(RGB)+SURF(RGB);10.364417;1000;768;256;32;64
HOG(RGB)+SURF(RGB);10.362296;1872;492;148;48;96
HOG(RGB)+SURF(RGB);10.354448;2360;616;183;32;64
HOG(RGB)+SURF(RGB);10.351486;6632;1168;208;32;64
HOG(RGB)+SURF(RGB);10.347969;304;336;304;32;64
HOG(RGB)+SURF(RGB);10.344052;3340;904;200;32;64
HOG(RGB)+SURF(RGB);10.341627;1612;1112;152;32;64
HOG(RGB)+SURF(RGB);10.335610;560;848;248;32;64
HOG(RGB)+SURF(RGB);10.334405;4116;432;159;32;64
HOG(RGB)+SURF(RGB);10.331692;2428;192;144;32;64
HOG(RGB)+SURF(RGB);10.325592;1932;88;144;32;64
HOG(RGB)+SURF(RGB);10.325509;1144;368;144;64;128
HOG(RGB)+SURF(RGB);10.322189;8;1128;160;32;64
HOG(RGB)+SURF(RGB);10.320164;1656;920;240;32;64
HOG(RGB)+SURF(RGB);10.313966;4096;216;176;32;64
HOG(RGB)+SURF(RGB);10.312683;1352;864;256;32;64
HOG(RGB)+SURF(RGB);10.302123;2344;976;216;32;64
HOG(RGB)+SURF(RGB);10.300359;3024;432;159;32;64
HOG(RGB)+SURF(RGB);10.298220;3716;1040;176;32;64
HOG(RGB)+SURF(RGB);10.292848;4604;1112;208;32;64
HOG(RGB)+SURF(RGB);10.289906;3976;80;256;32;64
HOG(RGB)+SURF(RGB);10.289776;984;1112;240;32;64
HOG(RGB)+SURF(RGB);10.287187;7432;960;168;32;64
HOG(RGB)+SURF(RGB);10.286401;952;600;272;32;64
HOG(RGB)+SURF(RGB);10.283914;444;736;248;32;64
HOG(RGB)+SURF(RGB);10.278837;6952;1048;224;32;64
HOG(RGB)+SURF(RGB);10.270655;2152;160;144;64;128
HOG(RGB)+SURF(RGB);10.259459;3388;680;200;32;64
HOG(RGB)+SURF(RGB);10.258649;5912;924;268;48;96
HOG(RGB)+SURF(RGB);10.257651;412;40;120;32;64
HOG(RGB)+SURF(RGB);10.256886;3112;756;220;48;96
HOG(RGB)+SURF(RGB);10.256254;156;48;119;32;64
HOG(RGB)+SURF(RGB);10.255130;5288;128;184;32;64
HOG(RGB)+SURF(RGB);10.254888;1804;184;231;32;64
HOG(RGB)+SURF(RGB);10.253457;1096;400;176;64;128
HOG(RGB)+SURF(RGB);10.251980;4012;1000;111;32;64
HOG(RGB)+SURF(RGB);10.251698;7104;1188;196;48;96
HOG(RGB)+SURF(RGB);10.250073;2936;1120;192;32;64
HOG(RGB)+SURF(RGB);10.242534;472;232;224;32;64
HOG(RGB)+SURF(RGB);10.234575;5084;968;192;32;64
HOG(RGB)+SURF(RGB);10.233650;3440;152;160;32;64
HOG(RGB)+SURF(RGB);10.232551;4672;120;132;80;160
HOG(RGB)+SURF(RGB);10.231296;2020;1144;112;32;64
