Name;Score;ImageNumber;X;Y;Width;Height
HONV;34.883602;2160;232;272;32;64
HONV;33.610542;2996;136;168;32;64
HONV;32.962440;756;0;240;32;64
HONV;32.677002;5760;504;170;48;96
HONV;32.552826;1992;56;240;32;64
HONV;32.280590;468;680;264;32;64
HONV;32.106030;6624;240;216;32;64
HONV;32.026550;584;0;192;64;128
HONV;31.875360;1568;184;175;32;64
HONV;31.710497;1596;8;256;32;64
HONV;31.499063;4172;776;184;32;64
HONV;31.353708;5672;32;136;32;64
HONV;31.308388;584;72;232;32;64
HONV;31.222181;3904;96;144;32;64
HONV;31.167479;6420;360;216;32;64
HONV;31.146326;1268;272;304;32;64
HONV;31.037706;7200;1200;192;32;64
HONV;31.024574;3168;1024;184;32;64
HONV;30.977741;4916;1144;184;32;64
HONV;30.943134;6568;1032;248;32;64
HONV;30.874420;264;1080;208;32;64
HONV;30.870975;5620;248;272;32;64
HONV;30.830593;5924;1000;295;32;64
HONV;30.739279;6660;120;240;32;64
HONV;30.709063;5936;816;160;32;64
HONV;30.583382;2428;1136;208;64;128
HONV;30.518831;5648;976;264;32;64
HONV;30.482349;472;0;160;32;64
HONV;30.480242;7200;1208;200;32;64
HONV;30.449884;2112;1192;184;32;64
HONV;30.399466;2160;248;264;32;64
HONV;30.374220;2996;112;176;32;64
HONV;30.231844;7156;920;232;32;64
HONV;30.217188;2232;1080;136;32;64
HONV;30.158283;268;616;256;32;64
HONV;30.157492;6568;1080;224;32;64
HONV;30.148777;4316;72;232;32;64
HONV;30.082817;4820;288;168;32;64
HONV;30.060177;148;376;216;32;64
HONV;30.030306;5280;132;220;48;96
HONV;30.007874;7464;1152;208;48;96
HONV;29.972219;4316;368;192;32;64
HONV;29.972160;584;48;208;64;128
HONV;29.971310;7140;448;208;32;64
HONV;29.966852;6652;272;175;32;64
HONV;29.933294;2920;440;151;32;64
HONV;29.826269;7140;80;288;32;64
HONV;29.777266;2384;960;288;32;64
HONV;29.726500;396;132;148;48;96
HONV;29.681168;4148;840;172;48;96
HONV;29.616213;584;24;216;32;64
HONV;29.613094;5540;648;158;48;96
HONV;29.605034;1908;416;264;32;64
HONV;29.582495;1632;184;175;32;64
HONV;29.561493;4380;504;136;32;64
HONV;29.496201;4092;296;144;32;64
HONV;29.482229;1024;1104;136;32;64
HONV;29.460688;6624;24;232;32;64
HONV;29.451479;2424;1064;207;32;64
HONV;29.405025;3288;1112;176;32;64
HONV;29.379578;4996;612;158;48;96
HONV;29.368950;240;444;136;48;96
HONV;29.361528;5540;960;191;32;64
HONV;29.350750;1104;344;168;32;64
HONV;29.345411;3444;1072;192;64;128
HONV;29.296183;2008;624;256;32;64
HONV;29.287373;3924;296;288;32;64
HONV;29.255051;5156;1024;272;32;64
HONV;29.230658;4532;136;304;32;64
HONV;29.186125;7076;1024;304;32;64
HONV;29.148247;1500;232;304;32;64
HONV;29.146496;7200;1192;200;32;64
HONV;29.130028;1840;224;304;32;64
HONV;29.127481;444;216;176;32;64
HONV;29.105675;2996;0;144;32;64
HONV;29.093069;6184;72;256;32;64
HONV;29.037767;3180;824;192;32;64
HONV;29.035040;2372;944;224;32;64
HONV;29.023434;3892;264;296;32;64
HONV;28.997366;6080;280;168;32;64
HONV;28.991302;6420;328;216;32;64
HONV;28.990965;1676;296;176;32;64
HONV;28.976820;4324;912;184;32;64
HONV;28.962965;7156;996;220;48;96
HONV;28.954552;6968;248;160;32;64
HONV;28.953487;4120;1040;184;32;64
HONV;28.948473;6624;180;148;48;96
