Name;Score;ImageNumber;X;Y;Width;Height
Histogram(Depth);12.800801;3740;0;224;64;128
Histogram(Depth);12.330215;3772;1144;240;32;64
Histogram(Depth);12.294762;1200;1120;176;32;64
Histogram(Depth);12.285822;4928;784;215;32;64
Histogram(Depth);12.280862;288;324;182;48;96
Histogram(Depth);12.261888;4340;888;220;48;96
Histogram(Depth);12.213470;460;1032;167;32;64
Histogram(Depth);12.186964;6548;848;120;32;64
Histogram(Depth);12.140034;2020;900;208;48;96
Histogram(Depth);12.112897;592;40;256;32;64
Histogram(Depth);12.058412;3564;852;208;48;96
Histogram(Depth);12.038140;6284;912;231;32;64
Histogram(Depth);12.015803;2324;312;182;48;96
Histogram(Depth);12.007964;1864;264;206;48;96
Histogram(Depth);11.987556;4696;312;206;48;96
Histogram(Depth);11.978256;4564;300;206;48;96
Histogram(Depth);11.975133;5988;864;231;32;64
Histogram(Depth);11.962324;4308;300;206;48;96
Histogram(Depth);11.956415;6844;0;208;64;128
Histogram(Depth);11.952397;1916;684;148;48;96
Histogram(Depth);11.935356;32;312;136;32;64
Histogram(Depth);11.929728;4424;480;208;48;96
Histogram(Depth);11.911044;6472;88;239;32;64
Histogram(Depth);11.900803;5140;336;200;32;64
Histogram(Depth);11.871137;560;32;224;64;128
Histogram(Depth);11.859125;6456;192;256;32;64
Histogram(Depth);11.856008;3348;1104;184;48;96
Histogram(Depth);11.848354;6348;800;224;64;128
Histogram(Depth);11.848270;6164;300;182;48;96
Histogram(Depth);11.839439;6548;1040;168;32;64
Histogram(Depth);11.834551;1228;324;182;48;96
Histogram(Depth);11.828617;4928;924;242;48;96
Histogram(Depth);11.818863;2152;0;192;64;128
Histogram(Depth);11.817697;6868;0;208;64;128
Histogram(Depth);11.813398;2108;324;206;48;96
Histogram(Depth);11.810803;1376;0;224;64;128
Histogram(Depth);11.801061;6308;300;206;48;96
Histogram(Depth);11.769014;3772;1128;240;32;64
Histogram(Depth);11.766310;6668;72;240;32;64
