Name;Score;ImageNumber;X;Y;Width;Height
SDDG(Depth);35.982475;6052;840;168;32;64
SDDG(Depth);34.832462;692;864;160;32;64
SDDG(Depth);34.197815;3280;104;208;32;64
SDDG(Depth);34.110107;1976;144;144;32;64
SDDG(Depth);33.560673;2380;712;144;32;64
SDDG(Depth);33.544933;7136;936;192;32;64
SDDG(Depth);33.485001;7340;168;160;32;64
SDDG(Depth);33.420830;4440;808;144;32;64
SDDG(Depth);32.988674;4004;1024;264;32;64
SDDG(Depth);32.960762;3028;528;183;32;64
SDDG(Depth);32.876083;5664;776;136;32;64
SDDG(Depth);32.814121;1284;360;160;32;64
SDDG(Depth);32.811562;3660;152;160;32;64
SDDG(Depth);32.712284;2984;824;168;32;64
SDDG(Depth);32.663097;2948;1092;160;48;96
SDDG(Depth);32.569614;3632;512;160;32;64
SDDG(Depth);32.523373;3368;288;183;32;64
SDDG(Depth);32.498989;12;136;160;32;64
SDDG(Depth);32.281696;2984;840;168;32;64
SDDG(Depth);32.242943;240;320;144;32;64
SDDG(Depth);32.152557;152;216;220;48;96
SDDG(Depth);32.147701;3492;896;140;112;224
SDDG(Depth);32.121006;6872;80;288;32;64
SDDG(Depth);32.112270;5480;400;175;32;64
SDDG(Depth);32.108620;2428;192;200;32;64
SDDG(Depth);31.953512;7296;936;224;32;64
SDDG(Depth);31.924395;4720;288;183;32;64
SDDG(Depth);31.873974;4684;800;168;32;64
SDDG(Depth);31.865093;4616;240;160;32;64
SDDG(Depth);31.829889;4440;344;152;32;64
SDDG(Depth);31.769354;4304;664;176;32;64
SDDG(Depth);31.761160;3256;312;128;32;64
SDDG(Depth);31.706114;20;952;152;32;64
SDDG(Depth);31.646236;3940;376;136;32;64
SDDG(Depth);31.591656;2544;760;168;32;64
SDDG(Depth);31.476301;5020;800;152;32;64
SDDG(Depth);31.419073;5824;328;136;32;64
SDDG(Depth);31.379381;2000;288;183;32;64
SDDG(Depth);31.299765;1072;1120;176;32;64
SDDG(Depth);31.281981;960;968;168;32;64
SDDG(Depth);31.267761;5300;584;144;32;64
SDDG(Depth);31.237680;6628;840;136;32;64
SDDG(Depth);31.226597;6984;780;172;48;96
SDDG(Depth);31.157209;5008;1104;296;32;64
SDDG(Depth);31.139500;148;1120;176;32;64
SDDG(Depth);31.131516;964;248;192;32;64
SDDG(Depth);31.089106;6032;600;152;32;64
SDDG(Depth);30.995214;4280;664;160;32;64
SDDG(Depth);30.911448;2500;1096;168;32;64
SDDG(Depth);30.841955;4448;1092;172;48;96
SDDG(Depth);30.747740;4604;368;192;32;64
SDDG(Depth);30.724844;6736;132;160;48;96
SDDG(Depth);30.716137;2480;736;144;32;64
SDDG(Depth);30.702078;6764;184;144;32;64
SDDG(Depth);30.696945;2512;376;168;32;64
SDDG(Depth);30.648659;6244;224;160;32;64
SDDG(Depth);30.645226;1788;744;144;32;64
SDDG(Depth);30.592253;6600;792;144;32;64
SDDG(Depth);30.567986;6068;528;168;32;64
SDDG(Depth);30.556196;5928;552;144;32;64
SDDG(Depth);30.550364;6024;288;175;32;64
SDDG(Depth);30.506561;6572;888;136;32;64
SDDG(Depth);30.473682;5344;664;152;32;64
SDDG(Depth);30.455225;360;8;184;32;64
SDDG(Depth);30.431175;900;520;152;32;64
SDDG(Depth);30.376148;7348;600;152;32;64
SDDG(Depth);30.335785;6252;64;192;32;64
SDDG(Depth);30.319454;328;1014;138;104;208
SDDG(Depth);30.308661;3524;160;184;32;64
SDDG(Depth);30.280157;3064;360;168;32;64
SDDG(Depth);30.223448;6216;1168;136;32;64
SDDG(Depth);30.199020;2668;240;160;32;64
SDDG(Depth);30.197311;6052;856;168;32;64
SDDG(Depth);30.170057;4972;904;175;32;64
SDDG(Depth);30.150570;3936;792;136;48;96
SDDG(Depth);30.069244;6500;880;144;32;64
SDDG(Depth);30.056997;6808;152;208;32;64
SDDG(Depth);30.012362;2936;1120;176;32;64
SDDG(Depth);29.968258;4024;168;208;48;96
SDDG(Depth);29.965933;3500;352;184;32;64
SDDG(Depth);29.964483;6204;464;184;32;64
SDDG(Depth);29.960764;6092;816;136;32;64
SDDG(Depth);29.945049;4668;96;152;32;64
SDDG(Depth);29.938547;5524;80;175;32;64
SDDG(Depth);29.938158;4312;856;152;32;64
SDDG(Depth);29.929037;3892;448;152;32;64
SDDG(Depth);29.908703;4304;672;168;32;64
SDDG(Depth);29.906046;1056;600;152;32;64
SDDG(Depth);29.898298;2676;776;152;32;64
SDDG(Depth);29.892235;32;256;176;32;64
