Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;FPPI;MissRate;EvaluationTimePerWindowMS;ValueShift;WorstFalsePositiveImages
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;5;3742;0;2257;0.002210;0.000000;1.000000;0.002210;0.004411;-1.000000;0.997790;4.595769;-30.000000;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;7;3742;0;2255;0.003095;0.000000;1.000000;0.003095;0.006170;-1.000000;0.996905;4.595769;-29.799999;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;11;3742;0;2251;0.004863;0.000000;1.000000;0.004863;0.009679;-1.000000;0.995137;4.595769;-29.600000;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;12;3742;0;2250;0.005305;0.000000;1.000000;0.005305;0.010554;-1.000000;0.994695;4.595769;-29.400000;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;12;3742;0;2250;0.005305;0.000000;1.000000;0.005305;0.010554;-1.000000;0.994695;4.595769;-29.200001;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;13;3742;0;2249;0.005747;0.000000;1.000000;0.005747;0.011429;-1.000000;0.994253;4.595769;-29.000000;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;13;3742;0;2249;0.005747;0.000000;1.000000;0.005747;0.011429;-1.000000;0.994253;4.595769;-28.799999;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;14;3742;0;2248;0.006189;0.000000;1.000000;0.006189;0.012302;-1.000000;0.993811;4.595769;-28.600000;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;15;3742;0;2247;0.006631;0.000000;1.000000;0.006631;0.013175;-1.000000;0.993369;4.595769;-28.400000;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;16;3742;0;2246;0.007073;0.000000;1.000000;0.007073;0.014047;-1.000000;0.992927;4.595769;-28.200001;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;17;3742;0;2245;0.007515;0.000000;1.000000;0.007515;0.014919;-1.000000;0.992485;4.595769;-28.000000;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;17;3742;0;2245;0.007515;0.000000;1.000000;0.007515;0.014919;-1.000000;0.992485;4.595769;-27.799999;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;18;3742;0;2244;0.007958;0.000000;1.000000;0.007958;0.015789;-1.000000;0.992042;4.595769;-27.600000;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;18;3742;0;2244;0.007958;0.000000;1.000000;0.007958;0.015789;-1.000000;0.992042;4.595769;-27.400000;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;19;3742;0;2243;0.008400;0.000000;1.000000;0.008400;0.016659;-1.000000;0.991600;4.595769;-27.200001;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;20;3742;0;2242;0.008842;0.000000;1.000000;0.008842;0.017528;-1.000000;0.991158;4.595769;-27.000000;
CoOccurrence(RGB)+Corner(Depth)+HOG(RGB)_round0;21;3742;0;2241;0.009284;0.000000;1.000000;0.009284;0.018397;-1.000000;0.990716;4.595769;-26.799999;
