Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;FPPI;MissRate;EvaluationTimePerWindowMS;ValueShift;WorstFalsePositiveImages
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;384;3742;0;1878;0.169761;0.000000;1.000000;0.169761;0.290249;-1.000000;0.830239;4.820953;-30.000000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;392;3742;0;1870;0.173298;0.000000;1.000000;0.173298;0.295403;-1.000000;0.826702;4.820953;-29.799999;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;414;3742;0;1848;0.183024;0.000000;1.000000;0.183024;0.309417;-1.000000;0.816976;4.820953;-29.600000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;423;3742;0;1839;0.187003;0.000000;1.000000;0.187003;0.315084;-1.000000;0.812997;4.820953;-29.400000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;429;3742;0;1833;0.189655;0.000000;1.000000;0.189655;0.318841;-1.000000;0.810345;4.820953;-29.200001;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;441;3742;0;1821;0.194960;0.000000;1.000000;0.194960;0.326304;-1.000000;0.805040;4.820953;-29.000000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;447;3742;0;1815;0.197613;0.000000;1.000000;0.197613;0.330011;-1.000000;0.802387;4.820953;-28.799999;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;465;3742;0;1797;0.205570;0.000000;1.000000;0.205570;0.341034;-1.000000;0.794430;4.820953;-28.600000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;477;3742;0;1785;0.210875;0.000000;1.000000;0.210875;0.348302;-1.000000;0.789125;4.820953;-28.400000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;495;3742;0;1767;0.218833;0.000000;1.000000;0.218833;0.359086;-1.000000;0.781167;4.820953;-28.200001;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;507;3742;0;1755;0.224138;0.000000;1.000000;0.224138;0.366197;-1.000000;0.775862;4.820953;-28.000000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;527;3742;0;1735;0.232980;0.000000;1.000000;0.232980;0.377913;-1.000000;0.767020;4.820953;-27.799999;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;542;3742;0;1720;0.239611;0.000000;1.000000;0.239611;0.386591;-1.000000;0.760389;4.820953;-27.600000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;555;3742;0;1707;0.245358;0.000000;1.000000;0.245358;0.394036;-1.000000;0.754642;4.820953;-27.400000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;575;3742;0;1687;0.254200;0.000000;1.000000;0.254200;0.405358;-1.000000;0.745800;4.820953;-27.200001;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;591;3742;0;1671;0.261273;0.000000;1.000000;0.261273;0.414301;-1.000000;0.738727;4.820953;-27.000000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;608;3742;0;1654;0.268789;0.000000;1.000000;0.268789;0.423693;-1.000000;0.731211;4.820953;-26.799999;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;622;3742;0;1640;0.274978;0.000000;1.000000;0.274978;0.431345;-1.000000;0.725022;4.820953;-26.600000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;642;3742;0;1620;0.283820;0.000000;1.000000;0.283820;0.442149;-1.000000;0.716180;4.820953;-26.400000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;659;3742;0;1603;0.291335;0.000000;1.000000;0.291335;0.451215;-1.000000;0.708665;4.820953;-26.200001;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;673;3742;0;1589;0.297524;0.000000;1.000000;0.297524;0.458603;-1.000000;0.702476;4.820953;-26.000000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;691;3742;0;1571;0.305482;0.000000;1.000000;0.305482;0.467999;-1.000000;0.694518;4.820953;-25.799999;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;704;3742;0;1558;0.311229;0.000000;1.000000;0.311229;0.474713;-1.000000;0.688771;4.820953;-25.600000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;730;3742;0;1532;0.322723;0.000000;1.000000;0.322723;0.487968;-1.000000;0.677277;4.820953;-25.400000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;742;3742;0;1520;0.328028;0.000000;1.000000;0.328028;0.494008;-1.000000;0.671972;4.820953;-25.200001;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;762;3742;0;1500;0.336870;0.000000;1.000000;0.336870;0.503968;-1.000000;0.663130;4.820953;-25.000000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;772;3742;0;1490;0.341291;0.000000;1.000000;0.341291;0.508899;-1.000000;0.658709;4.820953;-24.799999;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;788;3742;0;1474;0.348364;0.000000;1.000000;0.348364;0.516721;-1.000000;0.651636;4.820953;-24.600000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;805;3742;0;1457;0.355880;0.000000;1.000000;0.355880;0.524943;-1.000000;0.644120;4.820953;-24.400000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;823;3742;0;1439;0.363837;0.000000;1.000000;0.363837;0.533549;-1.000000;0.636163;4.820953;-24.200001;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;846;3742;0;1416;0.374005;0.000000;1.000000;0.374005;0.544402;-1.000000;0.625995;4.820953;-24.000000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;862;3742;0;1400;0.381079;0.000000;1.000000;0.381079;0.551857;-1.000000;0.618921;4.820953;-23.799999;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;881;3742;0;1381;0.389478;0.000000;1.000000;0.389478;0.560611;-1.000000;0.610522;4.820953;-23.600000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;910;3742;0;1352;0.402299;0.000000;1.000000;0.402299;0.573770;-1.000000;0.597701;4.820953;-23.400000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;928;3742;0;1334;0.410256;0.000000;1.000000;0.410256;0.581818;-1.000000;0.589744;4.820953;-23.200001;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;948;3742;0;1314;0.419098;0.000000;1.000000;0.419098;0.590654;-1.000000;0.580902;4.820953;-23.000000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;970;3742;0;1292;0.428824;0.000000;1.000000;0.428824;0.600248;-1.000000;0.571176;4.820953;-22.799999;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;992;3742;0;1270;0.438550;0.000000;1.000000;0.438550;0.609711;-1.000000;0.561450;4.820953;-22.600000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;1013;3742;0;1249;0.447834;0.000000;1.000000;0.447834;0.618626;-1.000000;0.552166;4.820953;-22.400000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;1030;3742;0;1232;0.455349;0.000000;1.000000;0.455349;0.625759;-1.000000;0.544651;4.820953;-22.200001;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;1051;3742;0;1211;0.464633;0.000000;1.000000;0.464633;0.634470;-1.000000;0.535367;4.820953;-22.000000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;1064;3742;0;1198;0.470380;0.000000;1.000000;0.470380;0.639808;-1.000000;0.529620;4.820953;-21.799999;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;1089;3742;0;1173;0.481432;0.000000;1.000000;0.481432;0.649955;-1.000000;0.518568;4.820953;-21.600000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;1104;3742;0;1158;0.488064;0.000000;1.000000;0.488064;0.655971;-1.000000;0.511936;4.820953;-21.400000;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;1120;3742;0;1142;0.495137;0.000000;1.000000;0.495137;0.662330;-1.000000;0.504863;4.820953;-21.200001;
CoOccurrence(RGB)+HDD+HOG(RGB)+LBP(RGB)_round0;1133;3742;0;1129;0.500884;0.000000;1.000000;0.500884;0.667452;-1.000000;0.499116;4.820953;-21.000000;
