Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;FPPI;MissRate;EvaluationTimePerWindowMS;ValueShift;WorstFalsePositiveImages
CoOccurrence(RGB)+HOG(RGB)_round0;2;3742;0;2260;0.000884;0.000000;1.000000;0.000884;0.001767;-1.000000;0.999116;2.034477;-30.000000;
CoOccurrence(RGB)+HOG(RGB)_round0;2;3742;0;2260;0.000884;0.000000;1.000000;0.000884;0.001767;-1.000000;0.999116;2.034477;-29.799999;
CoOccurrence(RGB)+HOG(RGB)_round0;2;3742;0;2260;0.000884;0.000000;1.000000;0.000884;0.001767;-1.000000;0.999116;2.034477;-29.600000;
CoOccurrence(RGB)+HOG(RGB)_round0;2;3742;0;2260;0.000884;0.000000;1.000000;0.000884;0.001767;-1.000000;0.999116;2.034477;-29.400000;
CoOccurrence(RGB)+HOG(RGB)_round0;2;3742;0;2260;0.000884;0.000000;1.000000;0.000884;0.001767;-1.000000;0.999116;2.034477;-29.200001;
CoOccurrence(RGB)+HOG(RGB)_round0;2;3742;0;2260;0.000884;0.000000;1.000000;0.000884;0.001767;-1.000000;0.999116;2.034477;-29.000000;
CoOccurrence(RGB)+HOG(RGB)_round0;3;3742;0;2259;0.001326;0.000000;1.000000;0.001326;0.002649;-1.000000;0.998674;2.034477;-28.799999;
CoOccurrence(RGB)+HOG(RGB)_round0;3;3742;0;2259;0.001326;0.000000;1.000000;0.001326;0.002649;-1.000000;0.998674;2.034477;-28.600000;
CoOccurrence(RGB)+HOG(RGB)_round0;3;3742;0;2259;0.001326;0.000000;1.000000;0.001326;0.002649;-1.000000;0.998674;2.034477;-28.400000;
CoOccurrence(RGB)+HOG(RGB)_round0;4;3742;0;2258;0.001768;0.000000;1.000000;0.001768;0.003530;-1.000000;0.998232;2.034477;-28.200001;
CoOccurrence(RGB)+HOG(RGB)_round0;4;3742;0;2258;0.001768;0.000000;1.000000;0.001768;0.003530;-1.000000;0.998232;2.034477;-28.000000;
CoOccurrence(RGB)+HOG(RGB)_round0;4;3742;0;2258;0.001768;0.000000;1.000000;0.001768;0.003530;-1.000000;0.998232;2.034477;-27.799999;
CoOccurrence(RGB)+HOG(RGB)_round0;6;3742;0;2256;0.002653;0.000000;1.000000;0.002653;0.005291;-1.000000;0.997347;2.034477;-27.600000;
CoOccurrence(RGB)+HOG(RGB)_round0;6;3742;0;2256;0.002653;0.000000;1.000000;0.002653;0.005291;-1.000000;0.997347;2.034477;-27.400000;
CoOccurrence(RGB)+HOG(RGB)_round0;7;3742;0;2255;0.003095;0.000000;1.000000;0.003095;0.006170;-1.000000;0.996905;2.034477;-27.200001;
CoOccurrence(RGB)+HOG(RGB)_round0;7;3742;0;2255;0.003095;0.000000;1.000000;0.003095;0.006170;-1.000000;0.996905;2.034477;-27.000000;
CoOccurrence(RGB)+HOG(RGB)_round0;7;3742;0;2255;0.003095;0.000000;1.000000;0.003095;0.006170;-1.000000;0.996905;2.034477;-26.799999;
CoOccurrence(RGB)+HOG(RGB)_round0;10;3742;0;2252;0.004421;0.000000;1.000000;0.004421;0.008803;-1.000000;0.995579;2.034477;-26.600000;
CoOccurrence(RGB)+HOG(RGB)_round0;12;3742;0;2250;0.005305;0.000000;1.000000;0.005305;0.010554;-1.000000;0.994695;2.034477;-26.400000;
CoOccurrence(RGB)+HOG(RGB)_round0;15;3742;0;2247;0.006631;0.000000;1.000000;0.006631;0.013175;-1.000000;0.993369;2.034477;-26.200001;
CoOccurrence(RGB)+HOG(RGB)_round0;18;3742;0;2244;0.007958;0.000000;1.000000;0.007958;0.015789;-1.000000;0.992042;2.034477;-26.000000;
CoOccurrence(RGB)+HOG(RGB)_round0;19;3742;0;2243;0.008400;0.000000;1.000000;0.008400;0.016659;-1.000000;0.991600;2.034477;-25.799999;
CoOccurrence(RGB)+HOG(RGB)_round0;22;3742;0;2240;0.009726;0.000000;1.000000;0.009726;0.019264;-1.000000;0.990274;2.034477;-25.600000;
CoOccurrence(RGB)+HOG(RGB)_round0;23;3742;0;2239;0.010168;0.000000;1.000000;0.010168;0.020131;-1.000000;0.989832;2.034477;-25.400000;
CoOccurrence(RGB)+HOG(RGB)_round0;26;3742;0;2236;0.011494;0.000000;1.000000;0.011494;0.022727;-1.000000;0.988506;2.034477;-25.200001;
CoOccurrence(RGB)+HOG(RGB)_round0;30;3742;0;2232;0.013263;0.000000;1.000000;0.013263;0.026178;-1.000000;0.986737;2.034477;-25.000000;
CoOccurrence(RGB)+HOG(RGB)_round0;34;3742;0;2228;0.015031;0.000000;1.000000;0.015031;0.029617;-1.000000;0.984969;2.034477;-24.799999;
CoOccurrence(RGB)+HOG(RGB)_round0;34;3742;0;2228;0.015031;0.000000;1.000000;0.015031;0.029617;-1.000000;0.984969;2.034477;-24.600000;
CoOccurrence(RGB)+HOG(RGB)_round0;35;3742;0;2227;0.015473;0.000000;1.000000;0.015473;0.030475;-1.000000;0.984527;2.034477;-24.400000;
CoOccurrence(RGB)+HOG(RGB)_round0;40;3742;0;2222;0.017683;0.000000;1.000000;0.017683;0.034752;-1.000000;0.982317;2.034477;-24.200001;
