Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;EvaluationTimePerWindowMS;ValueShift
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;22;33576556;42;17230;0.001275;0.000001;0.343750;0.001275;0.002541;2.151508;-10.000000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;23;33576553;45;17229;0.001333;0.000001;0.338235;0.001333;0.002656;2.151026;-9.960000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;24;33576551;47;17228;0.001391;0.000001;0.338028;0.001391;0.002771;2.150670;-9.920000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;25;33576548;50;17227;0.001449;0.000001;0.333333;0.001449;0.002886;2.150477;-9.880000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;28;33576544;54;17224;0.001623;0.000002;0.341463;0.001623;0.003231;2.150372;-9.840000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;28;33576544;54;17224;0.001623;0.000002;0.341463;0.001623;0.003231;2.150309;-9.800000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;29;33576541;57;17223;0.001681;0.000002;0.337209;0.001681;0.003345;2.150280;-9.760000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;29;33576536;62;17223;0.001681;0.000002;0.318681;0.001681;0.003344;2.150237;-9.720000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;30;33576534;64;17222;0.001739;0.000002;0.319149;0.001739;0.003459;2.150233;-9.680000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;30;33576529;69;17222;0.001739;0.000002;0.303030;0.001739;0.003458;2.150199;-9.640000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;33;33576522;76;17219;0.001913;0.000002;0.302752;0.001913;0.003802;2.150186;-9.600000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;33;33576519;79;17219;0.001913;0.000002;0.294643;0.001913;0.003801;2.150186;-9.560000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;34;33576512;86;17218;0.001971;0.000003;0.283333;0.001971;0.003914;2.150161;-9.520000
HoG(Depth)+HoG(RGB)+LBP(RGB)[S]_round0;36;33576506;92;17216;0.002087;0.000003;0.281250;0.002087;0.004143;2.150156;-9.480000
