Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;EvaluationTimePerWindowMS;ValueShift;
Histogram(Depth)+HoG(Depth)+HoG(RGB);345;3819;0;3475;0.090314;0.000000;1.000000;0.090314;0.165666;2.494567;-10.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);376;3819;0;3444;0.098429;0.000000;1.000000;0.098429;0.179218;2.495746;-9.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);414;3819;0;3406;0.108377;0.000000;1.000000;0.108377;0.195560;2.488284;-9.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);458;3819;0;3362;0.119895;0.000000;1.000000;0.119895;0.214119;2.485273;-9.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);510;3819;0;3310;0.133508;0.000000;1.000000;0.133508;0.235566;2.490247;-9.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);557;3819;0;3263;0.145812;0.000000;1.000000;0.145812;0.254512;2.487629;-9.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);619;3819;0;3201;0.162042;0.000000;1.000000;0.162042;0.278892;2.487106;-8.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);668;3819;0;3152;0.174869;0.000000;1.000000;0.174869;0.297683;2.488546;-8.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);726;3819;0;3094;0.190052;0.000000;1.000000;0.190052;0.319402;2.489855;-8.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);787;3818;1;3033;0.206021;0.000262;0.998731;0.206021;0.341580;2.489986;-8.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);865;3818;1;2955;0.226440;0.000262;0.998845;0.226440;0.369185;2.486713;-8.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);947;3818;1;2873;0.247906;0.000262;0.998945;0.247906;0.397232;2.485535;-7.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);1022;3818;1;2798;0.267539;0.000262;0.999022;0.267539;0.422052;2.487498;-7.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);1096;3818;1;2724;0.286911;0.000262;0.999088;0.286911;0.445800;2.488022;-7.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);1155;3818;1;2665;0.302356;0.000262;0.999135;0.302356;0.464228;2.490640;-7.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);1236;3817;2;2584;0.323560;0.000524;0.998384;0.323560;0.488731;2.496924;-7.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);1315;3817;2;2505;0.344241;0.000524;0.998481;0.344241;0.511972;2.488677;-6.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);1391;3817;2;2429;0.364136;0.000524;0.998564;0.364136;0.533666;2.488677;-6.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);1484;3817;2;2336;0.388482;0.000524;0.998654;0.388482;0.559367;2.489462;-6.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);1574;3817;2;2246;0.412042;0.000524;0.998731;0.412042;0.583395;2.487629;-6.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);1652;3815;4;2168;0.432461;0.001047;0.997585;0.432461;0.603360;2.488284;-6.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);1749;3814;5;2071;0.457853;0.001309;0.997149;0.457853;0.627557;2.489986;-5.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);1841;3814;5;1979;0.481937;0.001309;0.997291;0.481937;0.649841;2.487629;-5.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);1925;3814;5;1895;0.503927;0.001309;0.997409;0.503927;0.669565;2.486451;-5.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2001;3813;6;1819;0.523822;0.001571;0.997010;0.523822;0.686803;2.501244;-5.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2099;3812;7;1721;0.549476;0.001833;0.996676;0.549476;0.708404;2.491818;-5.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2194;3809;10;1626;0.574346;0.002618;0.995463;0.574346;0.728420;2.489069;-4.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2276;3809;10;1544;0.595812;0.002618;0.995626;0.595812;0.745496;2.491295;-4.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2354;3809;10;1466;0.616230;0.002618;0.995770;0.616230;0.761320;2.486582;-4.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2429;3807;12;1391;0.635864;0.003142;0.995084;0.635864;0.775914;2.490640;-4.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2512;3805;14;1308;0.657592;0.003666;0.994458;0.657592;0.791680;2.489593;-4.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2595;3805;14;1225;0.679319;0.003666;0.994634;0.679319;0.807280;2.487629;-3.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2673;3803;16;1147;0.699738;0.004190;0.994050;0.699738;0.821324;2.487498;-3.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2745;3801;18;1075;0.718586;0.004713;0.993485;0.718586;0.833966;2.489986;-3.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2812;3797;22;1008;0.736126;0.005761;0.992237;0.736126;0.845206;2.489986;-3.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2888;3790;29;932;0.756021;0.007594;0.990058;0.756021;0.857355;2.487629;-3.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2966;3787;32;854;0.776440;0.008379;0.989326;0.776440;0.870050;2.489331;-2.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3027;3780;39;793;0.792408;0.010212;0.987280;0.792408;0.879175;2.484880;-2.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3094;3776;43;726;0.809948;0.011259;0.986293;0.809948;0.889464;2.486975;-2.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3150;3770;49;670;0.824607;0.012831;0.984683;0.824607;0.897564;2.489069;-2.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3206;3769;50;614;0.839267;0.013092;0.984644;0.839267;0.906162;2.491295;-2.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3256;3761;58;564;0.852356;0.015187;0.982498;0.852356;0.912812;2.489593;-1.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3305;3760;59;515;0.865183;0.015449;0.982461;0.865183;0.920100;2.487760;-1.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3337;3756;63;483;0.873560;0.016496;0.981471;0.873560;0.924377;2.489069;-1.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3377;3754;65;443;0.884031;0.017020;0.981116;0.884031;0.930047;2.486189;-1.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3423;3741;78;397;0.896073;0.020424;0.977721;0.896073;0.935118;2.490509;-1.000000;
