Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;EvaluationTimePerWindowMS;ValueShift;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2387;3818;1;1433;0.624869;0.000262;0.999581;0.624869;0.769008;3.348344;-10.000000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2414;3818;1;1406;0.631937;0.000262;0.999586;0.631937;0.774338;3.339966;-9.800000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2447;3818;1;1373;0.640576;0.000262;0.999592;0.640576;0.780791;3.339311;-9.600000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2494;3818;1;1326;0.652880;0.000262;0.999599;0.652880;0.789865;3.336955;-9.400000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2528;3817;2;1292;0.661780;0.000524;0.999209;0.661780;0.796220;3.338264;-9.200000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2563;3817;2;1257;0.670942;0.000524;0.999220;0.670942;0.802819;3.337086;-9.000000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2608;3817;2;1212;0.682723;0.000524;0.999234;0.682723;0.811198;3.336431;-8.800000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2636;3817;2;1184;0.690052;0.000524;0.999242;0.690052;0.816352;3.348999;-8.600000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2663;3817;2;1157;0.697120;0.000524;0.999250;0.697120;0.821280;3.334337;-8.400000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2703;3817;2;1117;0.707592;0.000524;0.999261;0.707592;0.828506;3.334861;-8.200000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2738;3817;2;1082;0.716754;0.000524;0.999270;0.716754;0.834756;3.336301;-8.000000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2779;3817;2;1041;0.727487;0.000524;0.999281;0.727487;0.841994;3.336170;-7.800000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2816;3817;2;1004;0.737173;0.000524;0.999290;0.737173;0.848448;3.336824;-7.600000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);2849;3816;3;971;0.745812;0.000786;0.998948;0.745812;0.854017;3.350308;-7.400000;
