Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;EvaluationTimePerWindowMS;ValueShift;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.399005;-10.000000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.395732;-9.800000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.394423;-9.600000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.394554;-9.400000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.393376;-9.200000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.395209;-9.000000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.394816;-8.800000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.395602;-8.600000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.393900;-8.400000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.394423;-8.200000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.395078;-8.000000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.395471;-7.800000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.396125;-7.600000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.394816;-7.400000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.396125;-7.200000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.395209;-7.000000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.395471;-6.800000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.395078;-6.600000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.394292;-6.400000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.395602;-6.200000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.394685;-6.000000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.394947;-5.800000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.394685;-5.600000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.395209;-5.400000;
Corner(Depth);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);0.394816;-5.200000;
Corner(Depth);0;3818;1;3820;0.000000;0.000262;0.000000;0.000000;-nan(ind);0.395340;-5.000000;
Corner(Depth);0;3818;1;3820;0.000000;0.000262;0.000000;0.000000;-nan(ind);0.395340;-4.800000;
Corner(Depth);0;3817;2;3820;0.000000;0.000524;0.000000;0.000000;-nan(ind);0.394685;-4.600000;
Corner(Depth);0;3817;2;3820;0.000000;0.000524;0.000000;0.000000;-nan(ind);0.394685;-4.400000;
Corner(Depth);0;3817;2;3820;0.000000;0.000524;0.000000;0.000000;-nan(ind);0.394554;-4.200000;
Corner(Depth);1;3811;8;3819;0.000262;0.002095;0.111111;0.000262;0.000522;0.394554;-4.000000;
Corner(Depth);1;3806;13;3819;0.000262;0.003404;0.071429;0.000262;0.000522;0.394685;-3.800000;
Corner(Depth);1;3803;16;3819;0.000262;0.004190;0.058824;0.000262;0.000521;0.394423;-3.600000;
Corner(Depth);1;3790;29;3819;0.000262;0.007594;0.033333;0.000262;0.000519;0.394554;-3.400000;
Corner(Depth);4;3778;41;3816;0.001047;0.010736;0.088889;0.001047;0.002070;0.394816;-3.200000;
Corner(Depth);4;3769;50;3816;0.001047;0.013092;0.074074;0.001047;0.002065;0.395209;-3.000000;
Corner(Depth);6;3764;55;3814;0.001571;0.014402;0.098361;0.001571;0.003092;0.395078;-2.800000;
Corner(Depth);8;3764;55;3812;0.002094;0.014402;0.126984;0.002094;0.004121;0.395602;-2.600000;
Corner(Depth);18;3759;60;3802;0.004712;0.015711;0.230769;0.004712;0.009236;0.395732;-2.400000;
Corner(Depth);33;3757;62;3787;0.008639;0.016235;0.347368;0.008639;0.016858;0.394685;-2.200000;
Corner(Depth);70;3750;69;3750;0.018325;0.018068;0.503597;0.018325;0.035362;0.394685;-2.000000;
Corner(Depth);133;3741;78;3687;0.034817;0.020424;0.630332;0.034817;0.065989;0.394947;-1.800000;
Corner(Depth);247;3725;94;3573;0.064660;0.024614;0.724340;0.064660;0.118721;0.395340;-1.600000;
Corner(Depth);431;3699;120;3389;0.112827;0.031422;0.782214;0.112827;0.197209;0.395340;-1.400000;
Corner(Depth);669;3670;149;3151;0.175131;0.039015;0.817848;0.175131;0.288486;0.394554;-1.200000;
Corner(Depth);984;3625;194;2836;0.257592;0.050799;0.835314;0.257592;0.393758;0.394816;-1.000000;
Corner(Depth);1339;3565;254;2481;0.350524;0.066510;0.840552;0.350524;0.494735;0.393900;-0.800000;
Corner(Depth);1706;3483;336;2114;0.446597;0.087981;0.835455;0.446597;0.582054;0.395078;-0.600000;
Corner(Depth);2065;3372;447;1755;0.540576;0.117046;0.822054;0.540576;0.652243;0.394816;-0.400000;
Corner(Depth);2390;3221;598;1430;0.625654;0.156585;0.799866;0.625654;0.702115;0.394685;-0.200000;
Corner(Depth);2661;3027;792;1159;0.696597;0.207384;0.770634;0.696597;0.731748;0.395732;0.000000;
Corner(Depth);2976;2794;1025;844;0.779058;0.268395;0.743814;0.779058;0.761028;0.395471;0.200000;
Corner(Depth);3252;2492;1327;568;0.851309;0.347473;0.710199;0.851309;0.774378;0.395863;0.400000;
Corner(Depth);3471;2013;1806;349;0.908639;0.472899;0.657760;0.908639;0.763109;0.393900;0.600000;
Corner(Depth);3620;1584;2235;200;0.947644;0.585232;0.618275;0.947644;0.748320;0.394685;0.800000;
Corner(Depth);3708;1171;2648;112;0.970681;0.693375;0.583386;0.970681;0.728774;0.396256;1.000000;
Corner(Depth);3753;804;3015;67;0.982461;0.789474;0.554521;0.982461;0.708916;0.394816;1.200000;
Corner(Depth);3788;478;3341;32;0.991623;0.874836;0.531351;0.991623;0.691935;0.394423;1.400000;
Corner(Depth);3808;293;3526;12;0.996859;0.923278;0.519226;0.996859;0.682804;0.394423;1.600000;
Corner(Depth);3812;191;3628;8;0.997906;0.949987;0.512366;0.997906;0.677087;0.394947;1.800000;
Corner(Depth);3813;133;3686;7;0.998168;0.965174;0.508468;0.998168;0.673734;0.393114;2.000000;
Corner(Depth);3815;96;3723;5;0.998691;0.974863;0.506102;0.998691;0.671773;0.394554;2.200000;
Corner(Depth);3816;78;3741;4;0.998953;0.979576;0.504962;0.998953;0.670827;0.394816;2.400000;
Corner(Depth);3816;72;3747;4;0.998953;0.981147;0.504562;0.998953;0.670474;0.395732;2.600000;
Corner(Depth);3816;63;3756;4;0.998953;0.983504;0.503962;0.998953;0.669944;0.394816;2.800000;
Corner(Depth);3816;62;3757;4;0.998953;0.983765;0.503895;0.998953;0.669885;0.394292;3.000000;
Corner(Depth);3816;57;3762;4;0.998953;0.985075;0.503563;0.998953;0.669591;0.393900;3.200000;
Corner(Depth);3816;55;3764;4;0.998953;0.985598;0.503430;0.998953;0.669474;0.393769;3.400000;
Corner(Depth);3816;55;3764;4;0.998953;0.985598;0.503430;0.998953;0.669474;0.395602;3.600000;
Corner(Depth);3816;55;3764;4;0.998953;0.985598;0.503430;0.998953;0.669474;0.395602;3.800000;
Corner(Depth);3816;55;3764;4;0.998953;0.985598;0.503430;0.998953;0.669474;0.394685;4.000000;
Corner(Depth);3816;55;3764;4;0.998953;0.985598;0.503430;0.998953;0.669474;0.394685;4.200000;
Corner(Depth);3816;55;3764;4;0.998953;0.985598;0.503430;0.998953;0.669474;0.396387;4.400000;
Corner(Depth);3816;55;3764;4;0.998953;0.985598;0.503430;0.998953;0.669474;0.394292;4.600000;
Corner(Depth);3816;55;3764;4;0.998953;0.985598;0.503430;0.998953;0.669474;0.395209;4.800000;
Corner(Depth);3816;55;3764;4;0.998953;0.985598;0.503430;0.998953;0.669474;0.395078;5.000000;
Corner(Depth);3816;55;3764;4;0.998953;0.985598;0.503430;0.998953;0.669474;0.394554;5.200000;
Corner(Depth);3816;55;3764;4;0.998953;0.985598;0.503430;0.998953;0.669474;0.395602;5.400000;
Corner(Depth);3816;54;3765;4;0.998953;0.985860;0.503364;0.998953;0.669415;0.395863;5.600000;
Corner(Depth);3816;54;3765;4;0.998953;0.985860;0.503364;0.998953;0.669415;0.394685;5.800000;
Corner(Depth);3816;53;3766;4;0.998953;0.986122;0.503297;0.998953;0.669356;0.395471;6.000000;
Corner(Depth);3817;51;3768;3;0.999215;0.986646;0.503230;0.999215;0.669356;0.395078;6.200000;
