Name;Score;ImageNumber;X;Y;Width;Height
CoOccurrence(RGB);22.800528;640;384;176;64;128
CoOccurrence(RGB);18.299528;3760;832;280;32;64
CoOccurrence(RGB);17.191063;4320;256;240;64;128
CoOccurrence(RGB);15.367161;720;1136;128;64;128
CoOccurrence(RGB);15.240154;2380;880;160;64;128
CoOccurrence(RGB);15.223637;5040;192;176;64;128
CoOccurrence(RGB);15.194080;3460;980;132;80;160
CoOccurrence(RGB);15.060905;2480;1184;208;32;64
CoOccurrence(RGB);14.477968;6340;1136;184;32;64
CoOccurrence(RGB);14.396394;4060;888;220;48;96
CoOccurrence(RGB);14.393549;4440;980;212;80;160
CoOccurrence(RGB);14.314611;5680;304;256;32;64
CoOccurrence(RGB);14.203251;380;1104;168;32;64
CoOccurrence(RGB);14.146945;1120;948;268;48;96
CoOccurrence(RGB);14.128190;4280;1164;148;48;96
CoOccurrence(RGB);14.101925;4100;660;172;80;160
CoOccurrence(RGB);14.044369;6280;168;208;32;64
CoOccurrence(RGB);14.014009;2480;1008;128;64;128
CoOccurrence(RGB);13.984616;3900;940;212;80;160
CoOccurrence(RGB);13.976049;5000;848;223;64;128
CoOccurrence(RGB);13.931084;4420;896;240;64;128
CoOccurrence(RGB);13.878643;1780;792;160;96;192
CoOccurrence(RGB);13.745208;6960;348;196;48;96
CoOccurrence(RGB);13.735709;4100;696;192;32;64
CoOccurrence(RGB);13.648383;3300;1176;160;32;64
CoOccurrence(RGB);13.632770;4660;280;192;32;64
CoOccurrence(RGB);13.625170;7060;804;208;48;96
CoOccurrence(RGB);13.619894;2920;272;159;64;128
CoOccurrence(RGB);13.599999;2040;752;256;32;64
CoOccurrence(RGB);13.599998;1460;588;208;48;96
CoOccurrence(RGB);13.599985;5040;96;192;64;128
CoOccurrence(RGB);13.599979;7300;272;192;32;64
CoOccurrence(RGB);13.599978;4300;264;244;48;96
CoOccurrence(RGB);13.599975;360;1176;216;32;64
CoOccurrence(RGB);13.599974;80;1020;192;80;160
CoOccurrence(RGB);13.599962;3520;1152;220;48;96
CoOccurrence(RGB);13.599960;1300;632;111;32;64
CoOccurrence(RGB);13.599949;80;752;280;32;64
CoOccurrence(RGB);13.599945;6420;1116;136;48;96
CoOccurrence(RGB);13.599936;860;1200;296;32;64
CoOccurrence(RGB);13.599931;2680;900;171;48;96
CoOccurrence(RGB);13.599928;440;976;192;64;128
CoOccurrence(RGB);13.599920;5120;1088;112;32;64
CoOccurrence(RGB);13.599917;6240;224;295;32;64
CoOccurrence(RGB);13.599916;1340;648;244;48;96
CoOccurrence(RGB);13.599915;300;816;208;48;96
CoOccurrence(RGB);13.599901;40;444;244;48;96
CoOccurrence(RGB);13.599895;1400;928;248;32;64
CoOccurrence(RGB);13.599888;6880;32;248;32;64
CoOccurrence(RGB);13.599887;6500;984;112;32;64
CoOccurrence(RGB);13.599867;3560;1140;171;80;160
CoOccurrence(RGB);13.599859;5780;472;216;32;64
CoOccurrence(RGB);13.599855;2880;1160;304;32;64
CoOccurrence(RGB);13.599854;5440;300;220;48;96
CoOccurrence(RGB);13.599852;5560;1056;120;32;64
CoOccurrence(RGB);13.599850;4400;720;159;64;128
CoOccurrence(RGB);13.599838;1240;296;216;32;64
CoOccurrence(RGB);13.599837;2880;816;152;32;64
CoOccurrence(RGB);13.599822;5800;320;132;80;160
CoOccurrence(RGB);13.599818;4340;40;112;32;64
CoOccurrence(RGB);13.599816;5720;936;120;32;64
CoOccurrence(RGB);13.599815;3060;200;192;32;64
CoOccurrence(RGB);13.599813;6040;64;256;32;64
CoOccurrence(RGB);13.599807;500;656;304;32;64
CoOccurrence(RGB);13.599801;3700;48;135;32;64
CoOccurrence(RGB);13.599794;6660;1008;256;32;64
CoOccurrence(RGB);13.599790;4980;144;144;64;128
CoOccurrence(RGB);13.599786;4980;208;208;32;64
CoOccurrence(RGB);13.599785;5800;204;220;48;96
CoOccurrence(RGB);13.599779;6400;64;176;64;128
CoOccurrence(RGB);13.599777;0;432;295;32;64
CoOccurrence(RGB);13.599757;840;96;208;32;64
CoOccurrence(RGB);13.599752;4380;880;212;80;160
CoOccurrence(RGB);13.599743;2880;352;256;32;64
CoOccurrence(RGB);13.599742;5320;852;184;48;96
CoOccurrence(RGB);13.599719;4760;944;288;32;64
CoOccurrence(RGB);13.599711;120;704;192;64;128
CoOccurrence(RGB);13.599705;4180;912;208;32;64
CoOccurrence(RGB);13.599703;5320;344;224;32;64
CoOccurrence(RGB);13.599699;3160;60;244;48;96
CoOccurrence(RGB);13.599697;320;1020;232;48;96
CoOccurrence(RGB);13.599694;4240;352;200;32;64
CoOccurrence(RGB);13.599692;1000;32;304;32;64
CoOccurrence(RGB);13.599689;0;648;175;32;64
CoOccurrence(RGB);13.599679;1900;144;232;48;96
CoOccurrence(RGB);13.599673;5740;480;208;64;128
CoOccurrence(RGB);13.599670;5180;672;296;32;64
CoOccurrence(RGB);13.599669;1360;824;304;32;64
CoOccurrence(RGB);13.599664;2140;1168;200;32;64
CoOccurrence(RGB);13.599650;1020;344;256;32;64
CoOccurrence(RGB);13.599649;4300;72;208;32;64
CoOccurrence(RGB);13.599641;4360;1080;196;48;96
CoOccurrence(RGB);13.599639;2100;256;144;32;64
CoOccurrence(RGB);13.599635;5920;664;192;32;64
CoOccurrence(RGB);13.599631;20;36;160;48;96
CoOccurrence(RGB);13.599617;7060;520;128;32;64
CoOccurrence(RGB);13.599608;7360;1144;240;32;64
CoOccurrence(RGB);13.599607;7140;1032;220;48;96
CoOccurrence(RGB);13.599606;2080;1168;192;32;64
CoOccurrence(RGB);13.599596;5340;944;168;32;64
CoOccurrence(RGB);13.599581;6820;600;176;32;64
CoOccurrence(RGB);13.599570;4980;984;112;32;64
CoOccurrence(RGB);13.599564;1040;352;272;32;64
CoOccurrence(RGB);13.599562;1540;968;191;32;64
CoOccurrence(RGB);13.599559;3400;732;220;48;96
CoOccurrence(RGB);13.599537;220;424;248;32;64
CoOccurrence(RGB);13.599536;3460;704;280;32;64
CoOccurrence(RGB);13.599526;6960;180;172;48;96
CoOccurrence(RGB);13.599524;7220;1200;184;32;64
CoOccurrence(RGB);13.599522;5800;688;264;32;64
CoOccurrence(RGB);13.599515;3520;1048;232;32;64
CoOccurrence(RGB);13.599506;180;384;268;48;96
CoOccurrence(RGB);13.599485;6240;448;119;32;64
CoOccurrence(RGB);13.599484;140;24;124;48;96
CoOccurrence(RGB);13.599481;5740;864;264;32;64
CoOccurrence(RGB);13.599474;4600;60;112;48;96
CoOccurrence(RGB);13.599469;1680;920;296;32;64
CoOccurrence(RGB);13.599448;1520;840;200;32;64
CoOccurrence(RGB);13.599446;3700;176;183;32;64
CoOccurrence(RGB);13.599445;6600;64;208;64;128
CoOccurrence(RGB);13.599442;3440;1104;136;32;64
CoOccurrence(RGB);13.599440;2420;944;184;32;64
CoOccurrence(RGB);13.599438;340;712;304;32;64
CoOccurrence(RGB);13.599411;4700;1118;112;104;208
CoOccurrence(RGB);13.599410;2320;848;136;32;64
CoOccurrence(RGB);13.599407;5060;96;160;32;64
CoOccurrence(RGB);13.599401;3880;936;160;48;96
CoOccurrence(RGB);13.599388;3260;720;268;48;96
CoOccurrence(RGB);13.599383;2260;256;248;32;64
CoOccurrence(RGB);13.599378;4520;816;240;64;128
CoOccurrence(RGB);13.599369;3480;32;296;32;64
CoOccurrence(RGB);13.599367;4140;432;224;64;128
CoOccurrence(RGB);13.599354;5560;944;128;32;64
CoOccurrence(RGB);13.599349;1980;264;280;32;64
CoOccurrence(RGB);13.599347;3780;1192;168;32;64
CoOccurrence(RGB);13.599343;6960;200;280;32;64
CoOccurrence(RGB);13.599339;360;540;256;48;96
CoOccurrence(RGB);13.599339;1380;48;112;48;96
CoOccurrence(RGB);13.599334;420;320;240;64;128
CoOccurrence(RGB);13.599332;6200;592;240;64;128
