Name;Score;ImageNumber;X;Y;Width;Height
Corner(Depth)+HOG(RGB);18.975033;3560;1024;175;32;64
Corner(Depth)+HOG(RGB);16.856750;3960;432;232;48;96
Corner(Depth)+HOG(RGB);15.759642;7220;400;264;32;64
Corner(Depth)+HOG(RGB);15.364182;3560;1020;171;48;96
Corner(Depth)+HOG(RGB);14.724065;800;416;304;32;64
Corner(Depth)+HOG(RGB);14.588926;3420;688;256;32;64
Corner(Depth)+HOG(RGB);14.510839;4180;1188;160;48;96
Corner(Depth)+HOG(RGB);14.400348;5520;40;168;32;64
Corner(Depth)+HOG(RGB);13.835657;1920;1184;160;32;64
Corner(Depth)+HOG(RGB);13.832162;7260;272;280;32;64
Corner(Depth)+HOG(RGB);13.724571;5020;664;256;32;64
Corner(Depth)+HOG(RGB);13.723166;3880;448;168;32;64
Corner(Depth)+HOG(RGB);13.691708;1260;1104;224;32;64
Corner(Depth)+HOG(RGB);13.583402;100;288;208;32;64
Corner(Depth)+HOG(RGB);13.524387;5160;472;176;32;64
Corner(Depth)+HOG(RGB);13.520673;5360;36;172;48;96
Corner(Depth)+HOG(RGB);13.380133;4620;1068;136;48;96
Corner(Depth)+HOG(RGB);13.375857;5280;1168;304;32;64
Corner(Depth)+HOG(RGB);13.287811;2640;832;138;104;208
Corner(Depth)+HOG(RGB);13.248259;2640;1120;152;80;160
Corner(Depth)+HOG(RGB);13.189617;2160;1092;112;104;208
Corner(Depth)+HOG(RGB);13.186954;1220;888;231;32;64
Corner(Depth)+HOG(RGB);13.158670;3620;192;176;32;64
Corner(Depth)+HOG(RGB);13.073119;3380;60;152;80;160
Corner(Depth)+HOG(RGB);12.995935;4980;1060;172;80;160
Corner(Depth)+HOG(RGB);12.990141;2480;1032;184;32;64
Corner(Depth)+HOG(RGB);12.963642;1580;944;152;32;64
Corner(Depth)+HOG(RGB);12.927094;780;440;168;32;64
Corner(Depth)+HOG(RGB);12.799995;6240;312;207;32;64
Corner(Depth)+HOG(RGB);12.799994;1920;648;208;48;96
Corner(Depth)+HOG(RGB);12.799989;6760;616;184;32;64
Corner(Depth)+HOG(RGB);12.799985;3220;192;184;48;96
Corner(Depth)+HOG(RGB);12.799981;6500;876;160;48;96
Corner(Depth)+HOG(RGB);12.799977;7000;528;208;48;96
Corner(Depth)+HOG(RGB);12.799976;5700;1176;272;32;64
Corner(Depth)+HOG(RGB);12.799974;3560;120;167;32;64
Corner(Depth)+HOG(RGB);12.799970;1600;104;255;32;64
Corner(Depth)+HOG(RGB);12.799967;2640;1080;136;32;64
Corner(Depth)+HOG(RGB);12.799966;1880;456;148;48;96
Corner(Depth)+HOG(RGB);12.799962;6140;344;288;32;64
Corner(Depth)+HOG(RGB);12.799952;2440;712;264;32;64
Corner(Depth)+HOG(RGB);12.799943;2980;240;208;48;96
Corner(Depth)+HOG(RGB);12.799934;480;216;232;48;96
Corner(Depth)+HOG(RGB);12.799933;5300;992;288;32;64
Corner(Depth)+HOG(RGB);12.799926;6920;910;112;104;208
Corner(Depth)+HOG(RGB);12.799918;5800;184;192;32;64
Corner(Depth)+HOG(RGB);12.799914;4020;40;152;80;160
Corner(Depth)+HOG(RGB);12.799902;4640;936;200;32;64
Corner(Depth)+HOG(RGB);12.799896;500;1048;248;32;64
