Name;Score;ImageNumber;X;Y;Width;Height
Corner(RGB);4.199995;5800;824;136;32;64
Corner(RGB);4.199982;3540;1060;172;80;160
Corner(RGB);4.199971;7100;816;304;32;64
Corner(RGB);4.199963;4540;1000;112;80;160
Corner(RGB);4.199921;6000;784;192;64;128
Corner(RGB);4.199915;520;1092;159;48;96
Corner(RGB);4.199911;500;1096;200;32;64
Corner(RGB);4.199909;2120;840;184;32;64
Corner(RGB);4.199891;3580;1168;240;64;128
Corner(RGB);4.199887;560;152;136;32;64
Corner(RGB);4.199880;320;864;244;48;96
Corner(RGB);4.199857;5940;152;208;32;64
Corner(RGB);4.199854;6800;684;220;48;96
Corner(RGB);4.199834;1560;912;232;32;64
Corner(RGB);4.199817;0;1032;303;32;64
Corner(RGB);4.199811;5360;1020;268;48;96
Corner(RGB);4.199810;5840;1032;215;32;64
Corner(RGB);4.199747;2880;1152;112;64;128
Corner(RGB);4.199741;2620;704;208;32;64
Corner(RGB);4.199699;3540;528;280;32;64
Corner(RGB);4.199696;6060;856;264;32;64
Corner(RGB);4.199657;20;736;216;32;64
Corner(RGB);4.199645;4260;592;240;32;64
Corner(RGB);4.199624;1980;936;144;32;64
Corner(RGB);4.199607;5440;664;208;32;64
Corner(RGB);4.199564;7260;904;128;32;64
Corner(RGB);4.199562;6080;108;268;48;96
Corner(RGB);4.199553;5280;824;248;32;64
Corner(RGB);4.199539;3440;1008;160;96;192
Corner(RGB);4.199537;5900;960;132;80;160
Corner(RGB);4.199502;4440;80;168;32;64
Corner(RGB);4.199492;1780;1116;244;48;96
Corner(RGB);4.199490;5500;224;140;112;224
Corner(RGB);4.199456;4420;448;288;32;64
Corner(RGB);4.199436;6160;944;184;32;64
Corner(RGB);4.199430;6320;712;272;32;64
Corner(RGB);4.199430;2120;1112;160;32;64
Corner(RGB);4.199424;420;256;224;64;128
Corner(RGB);4.199419;3320;806;138;104;208
Corner(RGB);4.199410;1200;48;144;64;128
Corner(RGB);4.199400;4800;48;196;48;96
Corner(RGB);4.199365;1500;528;216;32;64
Corner(RGB);4.199361;3160;672;208;64;128
Corner(RGB);4.199359;2520;712;200;32;64
Corner(RGB);4.199352;7040;496;216;32;64
Corner(RGB);4.199302;2160;888;144;32;64
Corner(RGB);4.199294;4180;392;144;32;64
Corner(RGB);4.199291;7340;910;112;104;208
Corner(RGB);4.199286;1800;996;196;48;96
Corner(RGB);4.199280;5340;948;136;48;96
Corner(RGB);4.199277;1820;392;184;32;64
Corner(RGB);4.199272;2640;784;272;32;64
Corner(RGB);4.199262;2160;1120;232;32;64
Corner(RGB);4.199257;6320;304;208;32;64
Corner(RGB);4.199243;2200;160;192;80;160
Corner(RGB);4.199223;6000;1080;184;32;64
Corner(RGB);4.199214;4220;504;208;48;96
Corner(RGB);4.199209;100;1200;112;32;64
Corner(RGB);4.199179;5160;1064;160;32;64
Corner(RGB);4.199169;6620;624;240;32;64
Corner(RGB);4.199162;6440;756;184;48;96
Corner(RGB);4.199131;440;984;112;32;64
Corner(RGB);4.199091;5840;104;215;32;64
Corner(RGB);4.199069;2980;120;248;32;64
Corner(RGB);4.199067;40;864;192;32;64
Corner(RGB);4.199057;7460;1032;200;32;64
Corner(RGB);4.199041;4360;368;152;32;64
Corner(RGB);4.199039;1080;8;264;32;64
Corner(RGB);4.199022;320;948;148;48;96
Corner(RGB);4.199018;7000;720;136;96;192
Corner(RGB);4.199014;400;760;168;32;64
Corner(RGB);4.198997;3460;176;240;32;64
Corner(RGB);4.198963;3400;84;140;112;224
Corner(RGB);4.198959;2800;376;216;32;64
Corner(RGB);4.198956;3520;824;112;32;64
Corner(RGB);4.198955;140;776;184;32;64
Corner(RGB);4.198916;5220;1104;208;32;64
Corner(RGB);4.198908;6560;588;208;48;96
Corner(RGB);4.198907;4600;440;168;32;64
Corner(RGB);4.198884;4600;536;216;32;64
Corner(RGB);4.198871;520;976;215;32;64
Corner(RGB);4.198866;5540;152;231;32;64
Corner(RGB);4.198865;6820;824;184;32;64
Corner(RGB);4.198864;3140;112;144;32;64
Corner(RGB);4.198835;5900;580;192;80;160
Corner(RGB);4.198826;2700;288;304;32;64
Corner(RGB);4.198805;7060;1056;112;96;192
Corner(RGB);4.198747;580;0;138;104;208
Corner(RGB);4.198744;440;1200;288;32;64
Corner(RGB);4.198732;1660;468;232;48;96
Corner(RGB);4.198711;2560;176;128;64;128
Corner(RGB);4.198679;6720;192;112;32;64
Corner(RGB);4.198649;6100;40;224;32;64
Corner(RGB);4.198644;660;228;244;48;96
Corner(RGB);4.198627;4900;688;176;32;64
Corner(RGB);4.198622;1240;528;232;48;96
Corner(RGB);4.198620;2260;192;160;32;64
Corner(RGB);4.198576;3840;488;192;32;64
Corner(RGB);4.198570;4900;600;172;48;96
Corner(RGB);4.198562;6040;352;192;32;64
Corner(RGB);4.198494;2420;408;240;32;64
Corner(RGB);4.198482;2500;1152;192;32;64
Corner(RGB);4.198477;6920;1112;184;32;64
Corner(RGB);4.198428;6580;144;280;32;64
Corner(RGB);4.198416;2960;440;224;32;64
Corner(RGB);4.198410;1860;880;304;32;64
Corner(RGB);4.198409;1680;816;160;64;128
Corner(RGB);4.198399;4740;272;128;32;64
Corner(RGB);4.198393;5580;180;152;80;160
Corner(RGB);4.198378;640;256;264;32;64
Corner(RGB);4.198361;4380;440;144;32;64
Corner(RGB);4.198355;5240;936;191;32;64
Corner(RGB);4.198349;4920;520;192;80;160
Corner(RGB);4.198334;120;0;136;96;192
Corner(RGB);4.198326;3140;112;256;32;64
Corner(RGB);4.198323;6760;888;304;32;64
Corner(RGB);4.198316;6520;744;208;32;64
Corner(RGB);4.198290;1120;132;184;48;96
Corner(RGB);4.198269;3400;408;152;32;64
Corner(RGB);4.198261;860;1176;268;48;96
Corner(RGB);4.198254;4920;1064;272;32;64
Corner(RGB);4.198247;5480;24;191;32;64
Corner(RGB);4.198241;2260;680;208;32;64
Corner(RGB);4.198235;5820;1100;172;80;160
Corner(RGB);4.198226;4820;312;152;32;64
Corner(RGB);4.198211;5160;1096;184;32;64
Corner(RGB);4.198200;6120;1120;112;80;160
Corner(RGB);4.198193;3100;96;232;48;96
Corner(RGB);4.198171;2020;384;192;64;128
Corner(RGB);4.198126;3220;168;176;32;64
Corner(RGB);4.198100;2180;168;140;112;224
Corner(RGB);4.198081;7140;416;168;32;64
Corner(RGB);4.198039;920;754;138;104;208
Corner(RGB);4.198036;2680;1128;171;48;96
Corner(RGB);4.198030;3540;880;272;32;64
Corner(RGB);4.198030;2260;232;232;32;64
Corner(RGB);4.197979;1580;688;240;32;64
Corner(RGB);4.197955;3800;1048;136;32;64
Corner(RGB);4.197952;1840;360;144;32;64
Corner(RGB);4.197934;340;992;208;32;64
Corner(RGB);4.197923;4620;360;160;32;64
Corner(RGB);4.197920;2760;832;184;32;64
Corner(RGB);4.197910;3000;1160;192;80;160
Corner(RGB);4.197906;7400;32;224;32;64
Corner(RGB);4.197885;2080;752;208;32;64
Corner(RGB);4.197871;3320;544;208;64;128
Corner(RGB);4.197815;5260;144;160;96;192
Corner(RGB);4.197811;1160;176;255;32;64
Corner(RGB);4.197807;3540;320;200;32;64
Corner(RGB);4.197786;1260;192;168;32;64
Corner(RGB);4.197715;7360;224;224;32;64
Corner(RGB);4.197704;6440;904;192;32;64
Corner(RGB);4.197700;900;312;136;48;96
Corner(RGB);4.197611;3400;168;172;48;96
Corner(RGB);4.197583;2380;1024;192;64;128
Corner(RGB);4.197484;2300;208;168;32;64
Corner(RGB);4.197478;1780;88;272;32;64
Corner(RGB);4.197474;6560;480;160;64;128
Corner(RGB);4.197464;1120;320;176;64;128
Corner(RGB);4.197412;580;704;208;32;64
Corner(RGB);4.197411;6000;1136;192;32;64
Corner(RGB);4.197406;3740;120;160;96;192
Corner(RGB);4.197404;6440;696;208;32;64
Corner(RGB);4.197397;2340;16;256;32;64
Corner(RGB);4.197363;5120;1080;120;32;64
Corner(RGB);4.197329;2660;660;244;48;96
Corner(RGB);4.197329;3840;492;160;48;96
Corner(RGB);4.197328;3420;312;144;32;64
Corner(RGB);4.197306;5680;720;208;64;128
Corner(RGB);4.197258;4800;448;216;32;64
Corner(RGB);4.197245;640;48;144;32;64
Corner(RGB);4.197240;3920;52;164;104;208
Corner(RGB);4.197222;940;752;192;64;128
Corner(RGB);4.197204;4740;672;200;32;64
Corner(RGB);4.197198;2660;48;256;48;96
Corner(RGB);4.197187;2360;612;255;48;96
Corner(RGB);4.197183;3460;776;256;32;64
Corner(RGB);4.197120;1180;448;264;32;64
Corner(RGB);4.197120;2620;952;192;32;64
Corner(RGB);4.197109;6660;1104;240;64;128
Corner(RGB);4.197087;6920;760;168;32;64
Corner(RGB);4.197046;3440;1032;200;32;64
Corner(RGB);4.197030;6960;108;256;48;96
Corner(RGB);4.197014;2060;1092;140;112;224
Corner(RGB);4.197008;5820;704;216;32;64
Corner(RGB);4.197004;3580;1200;120;32;64
Corner(RGB);4.196992;2240;200;216;32;64
Corner(RGB);4.196985;3700;192;215;32;64
Corner(RGB);4.196969;1600;1072;231;32;64
Corner(RGB);4.196956;3740;1192;176;32;64
Corner(RGB);4.196951;2960;992;192;32;64
Corner(RGB);4.196929;5020;856;296;32;64
Corner(RGB);4.196896;2780;1068;147;48;96
Corner(RGB);4.196888;5660;560;192;32;64
Corner(RGB);4.196875;4060;944;192;32;64
Corner(RGB);4.196870;3140;400;192;80;160
