Name;Score;ImageNumber;X;Y;Width;Height
HDD+HOG(RGB);19.011339;2200;948;196;48;96
HDD+HOG(RGB);18.432783;5160;144;144;64;128
HDD+HOG(RGB);16.978577;4260;280;152;80;160
HDD+HOG(RGB);16.885689;1840;1168;136;32;64
HDD+HOG(RGB);16.762899;5500;720;152;32;64
HDD+HOG(RGB);16.708290;5300;128;168;32;64
HDD+HOG(RGB);16.689791;6920;0;136;48;96
HDD+HOG(RGB);16.619234;7360;992;296;32;64
HDD+HOG(RGB);16.580721;3380;760;144;32;64
HDD+HOG(RGB);16.560909;2640;1066;112;104;208
HDD+HOG(RGB);16.518288;6240;336;191;32;64
HDD+HOG(RGB);16.491886;2340;816;184;32;64
HDD+HOG(RGB);16.441574;5720;152;224;32;64
HDD+HOG(RGB);16.433212;2920;144;175;64;128
HDD+HOG(RGB);16.321896;7300;1104;120;32;64
HDD+HOG(RGB);16.313206;7160;328;152;32;64
HDD+HOG(RGB);16.296875;1400;928;152;32;64
HDD+HOG(RGB);16.231035;3860;960;120;32;64
HDD+HOG(RGB);16.160217;2160;100;172;80;160
HDD+HOG(RGB);15.832565;0;24;171;48;96
HDD+HOG(RGB);15.732230;840;272;208;32;64
HDD+HOG(RGB);15.722309;6780;528;176;32;64
HDD+HOG(RGB);15.587383;5240;280;183;32;64
HDD+HOG(RGB);15.508582;2260;324;172;48;96
HDD+HOG(RGB);15.426444;6380;972;256;48;96
HDD+HOG(RGB);15.266778;4740;632;176;32;64
HDD+HOG(RGB);15.260468;4060;856;208;32;64
HDD+HOG(RGB);15.182516;6920;352;232;32;64
HDD+HOG(RGB);15.130729;3320;216;288;32;64
HDD+HOG(RGB);15.106892;3220;176;160;64;128
HDD+HOG(RGB);15.048036;6400;440;184;32;64
HDD+HOG(RGB);15.040666;3980;840;184;32;64
HDD+HOG(RGB);14.999995;3280;120;160;48;96
HDD+HOG(RGB);14.999986;2720;1208;216;32;64
HDD+HOG(RGB);14.999980;6760;416;176;64;128
HDD+HOG(RGB);14.999968;4400;1068;111;48;96
HDD+HOG(RGB);14.999964;5460;32;208;32;64
HDD+HOG(RGB);14.999956;420;80;192;80;160
HDD+HOG(RGB);14.999954;2760;864;160;48;96
HDD+HOG(RGB);14.999916;2300;296;304;32;64
HDD+HOG(RGB);14.999912;5140;240;136;32;64
HDD+HOG(RGB);14.999909;1540;144;135;32;64
HDD+HOG(RGB);14.999900;5260;1032;184;48;96
HDD+HOG(RGB);14.999894;2360;552;167;32;64
HDD+HOG(RGB);14.999893;2860;408;191;32;64
HDD+HOG(RGB);14.999886;6040;168;256;32;64
HDD+HOG(RGB);14.999874;2780;1056;219;48;96
HDD+HOG(RGB);14.999852;5660;784;272;32;64
HDD+HOG(RGB);14.999807;5040;1192;256;32;64
HDD+HOG(RGB);14.999806;6240;1088;215;32;64
HDD+HOG(RGB);14.999774;1700;296;279;32;64
HDD+HOG(RGB);14.999773;3840;368;176;64;128
HDD+HOG(RGB);14.999763;2160;468;148;48;96
HDD+HOG(RGB);14.999738;1800;1152;288;32;64
HDD+HOG(RGB);14.999731;2460;768;192;64;128
HDD+HOG(RGB);14.999730;1820;768;208;32;64
HDD+HOG(RGB);14.999722;4400;984;243;48;96
HDD+HOG(RGB);14.999710;3540;200;176;32;64
HDD+HOG(RGB);14.999699;3380;136;208;32;64
HDD+HOG(RGB);14.999689;4220;520;176;32;64
HDD+HOG(RGB);14.999680;6420;1096;192;32;64
HDD+HOG(RGB);14.999664;2740;1016;272;32;64
HDD+HOG(RGB);14.999642;5160;1136;152;32;64
HDD+HOG(RGB);14.999636;6420;672;152;32;64
HDD+HOG(RGB);14.999633;7460;616;128;32;64
HDD+HOG(RGB);14.999627;4960;1128;219;48;96
HDD+HOG(RGB);14.999606;6880;104;120;32;64
HDD+HOG(RGB);14.999599;1980;1088;208;64;128
HDD+HOG(RGB);14.999593;4580;600;191;32;64
HDD+HOG(RGB);14.999561;2660;224;264;32;64
HDD+HOG(RGB);14.999559;2560;928;176;32;64
HDD+HOG(RGB);14.999531;4400;464;183;32;64
HDD+HOG(RGB);14.999514;1300;516;135;48;96
HDD+HOG(RGB);14.999505;1300;720;175;32;64
HDD+HOG(RGB);14.999484;1120;152;144;32;64
HDD+HOG(RGB);14.999462;1300;1008;247;32;64
HDD+HOG(RGB);14.999461;1540;128;127;32;64
HDD+HOG(RGB);14.999442;1920;1072;264;32;64
HDD+HOG(RGB);14.999406;740;1080;172;80;160
HDD+HOG(RGB);14.999397;780;740;132;80;160
HDD+HOG(RGB);14.999393;3140;208;216;32;64
HDD+HOG(RGB);14.999393;3920;1104;192;32;64
HDD+HOG(RGB);14.999391;5660;432;220;48;96
HDD+HOG(RGB);14.999379;4700;424;144;32;64
HDD+HOG(RGB);14.999374;5300;720;192;32;64
HDD+HOG(RGB);14.999366;6120;168;288;32;64
HDD+HOG(RGB);14.999347;7320;872;127;32;64
HDD+HOG(RGB);14.999339;5280;1020;196;48;96
HDD+HOG(RGB);14.999338;6240;552;135;32;64
HDD+HOG(RGB);14.999314;3240;328;280;32;64
HDD+HOG(RGB);14.999311;3700;272;175;64;128
HDD+HOG(RGB);14.999310;4920;1008;176;64;128
HDD+HOG(RGB);14.999307;3520;256;168;32;64
HDD+HOG(RGB);14.999305;6700;1120;152;32;64
HDD+HOG(RGB);14.999303;100;1096;184;32;64
HDD+HOG(RGB);14.999287;620;624;248;32;64
HDD+HOG(RGB);14.999267;4340;768;192;32;64
HDD+HOG(RGB);14.999265;4240;216;176;32;64
HDD+HOG(RGB);14.999255;2060;1024;112;64;128
HDD+HOG(RGB);14.999238;2160;1164;184;48;96
HDD+HOG(RGB);14.999223;680;616;184;32;64
HDD+HOG(RGB);14.999201;2060;204;196;48;96
HDD+HOG(RGB);14.999189;6820;1104;288;32;64
HDD+HOG(RGB);14.999183;4960;976;239;32;64
HDD+HOG(RGB);14.999146;1880;380;132;80;160
HDD+HOG(RGB);14.999130;6500;952;128;32;64
HDD+HOG(RGB);14.999114;5180;1168;280;32;64
HDD+HOG(RGB);14.999110;1460;848;152;32;64
HDD+HOG(RGB);14.999103;2980;1188;112;48;96
HDD+HOG(RGB);14.999091;1300;1144;143;32;64
HDD+HOG(RGB);14.999083;6420;1016;168;32;64
HDD+HOG(RGB);14.999075;7440;232;168;32;64
HDD+HOG(RGB);14.999052;560;200;160;32;64
HDD+HOG(RGB);14.999047;7480;1104;280;32;64
HDD+HOG(RGB);14.999040;3640;130;138;104;208
HDD+HOG(RGB);14.999035;2320;1008;136;96;192
HDD+HOG(RGB);14.999027;740;760;152;80;160
HDD+HOG(RGB);14.999002;5500;216;136;48;96
HDD+HOG(RGB);14.998999;1880;1184;120;32;64
HDD+HOG(RGB);14.998986;2600;336;184;48;96
HDD+HOG(RGB);14.998985;4600;1096;304;32;64
HDD+HOG(RGB);14.998982;2100;96;128;32;64
HDD+HOG(RGB);14.998978;2580;368;160;32;64
HDD+HOG(RGB);14.998960;5260;896;144;32;64
HDD+HOG(RGB);14.998930;4980;304;144;64;128
HDD+HOG(RGB);14.998927;2920;728;231;32;64
HDD+HOG(RGB);14.998918;400;976;144;32;64
HDD+HOG(RGB);14.998910;4340;64;240;64;128
HDD+HOG(RGB);14.998897;7060;1020;132;80;160
HDD+HOG(RGB);14.998876;4420;80;224;64;128
HDD+HOG(RGB);14.998867;7420;48;128;32;64
HDD+HOG(RGB);14.998863;2500;952;216;32;64
HDD+HOG(RGB);14.998859;6400;1072;120;32;64
HDD+HOG(RGB);14.998847;120;684;172;48;96
HDD+HOG(RGB);14.998787;4400;108;195;48;96
HDD+HOG(RGB);14.998785;4400;400;183;32;64
HDD+HOG(RGB);14.998776;2080;1032;288;32;64
HDD+HOG(RGB);14.998770;6420;1072;224;32;64
HDD+HOG(RGB);14.998754;1400;1080;136;32;64
HDD+HOG(RGB);14.998749;2680;1088;159;32;64
HDD+HOG(RGB);14.998748;6780;96;240;64;128
HDD+HOG(RGB);14.998743;6060;216;168;32;64
HDD+HOG(RGB);14.998737;4000;912;184;48;96
HDD+HOG(RGB);14.998735;3180;48;148;48;96
HDD+HOG(RGB);14.998731;6560;1104;184;32;64
HDD+HOG(RGB);14.998730;6400;480;264;32;64
HDD+HOG(RGB);14.998724;4940;104;167;32;64
HDD+HOG(RGB);14.998723;2540;360;256;32;64
HDD+HOG(RGB);14.998713;1580;1152;128;32;64
HDD+HOG(RGB);14.998710;6480;512;183;32;64
HDD+HOG(RGB);14.998703;2160;232;208;32;64
HDD+HOG(RGB);14.998677;240;416;168;32;64
HDD+HOG(RGB);14.998666;2000;36;159;48;96
HDD+HOG(RGB);14.998652;200;784;232;32;64
HDD+HOG(RGB);14.998623;1840;208;216;32;64
HDD+HOG(RGB);14.998599;6960;824;272;32;64
HDD+HOG(RGB);14.998590;520;704;127;32;64
