Name;Score;ImageNumber;X;Y;Width;Height
HOG(Depth)+HOG(RGB);79.367477;2120;1032;152;32;64
HOG(Depth)+HOG(RGB);78.082787;300;1032;152;32;64
HOG(Depth)+HOG(RGB);77.610695;5400;1032;152;32;64
HOG(Depth)+HOG(RGB);76.945496;6180;1168;168;32;64
HOG(Depth)+HOG(RGB);76.782654;3820;1112;144;32;64
HOG(Depth)+HOG(RGB);76.416672;7420;492;160;48;96
HOG(Depth)+HOG(RGB);76.080719;1100;1008;176;32;64
HOG(Depth)+HOG(RGB);74.848053;3420;688;208;32;64
HOG(Depth)+HOG(RGB);73.765175;4180;768;192;32;64
HOG(Depth)+HOG(RGB);73.543488;1240;840;248;32;64
HOG(Depth)+HOG(RGB);73.217537;2640;256;192;32;64
HOG(Depth)+HOG(RGB);73.187859;2760;1112;192;32;64
HOG(Depth)+HOG(RGB);73.045891;4180;56;168;32;64
HOG(Depth)+HOG(RGB);72.998581;6980;1128;196;48;96
HOG(Depth)+HOG(RGB);72.531647;5840;864;151;32;64
HOG(Depth)+HOG(RGB);72.045708;6200;272;168;32;64
HOG(Depth)+HOG(RGB);72.012657;1100;976;176;32;64
HOG(Depth)+HOG(RGB);71.784836;2640;272;160;32;64
HOG(Depth)+HOG(RGB);71.721504;1440;1040;224;32;64
HOG(Depth)+HOG(RGB);71.529282;2400;768;144;32;64
HOG(Depth)+HOG(RGB);71.318230;3540;456;172;48;96
HOG(Depth)+HOG(RGB);70.862625;3380;240;136;32;64
HOG(Depth)+HOG(RGB);70.783913;6600;208;160;32;64
HOG(Depth)+HOG(RGB);70.621735;140;1080;200;32;64
HOG(Depth)+HOG(RGB);70.584229;1360;192;128;64;128
HOG(Depth)+HOG(RGB);70.540558;3240;960;220;48;96
HOG(Depth)+HOG(RGB);70.471512;6820;960;200;32;64
HOG(Depth)+HOG(RGB);70.366203;120;296;144;32;64
HOG(Depth)+HOG(RGB);70.316650;6920;424;160;32;64
HOG(Depth)+HOG(RGB);70.191658;6400;376;136;32;64
HOG(Depth)+HOG(RGB);70.065422;2720;912;144;32;64
HOG(Depth)+HOG(RGB);69.732040;6240;248;143;32;64
HOG(Depth)+HOG(RGB);69.666328;3520;1008;160;48;96
HOG(Depth)+HOG(RGB);69.505562;6980;584;176;32;64
HOG(Depth)+HOG(RGB);69.280960;4800;1176;184;48;96
HOG(Depth)+HOG(RGB);69.241989;3560;1176;183;32;64
HOG(Depth)+HOG(RGB);69.235222;1140;384;200;32;64
HOG(Depth)+HOG(RGB);69.181412;440;1080;128;32;64
