Name;Score;ImageNumber;X;Y;Width;Height
Histogram(Depth);1374.850220;6440;760;136;32;64
Histogram(Depth);1374.759766;5280;368;160;64;128
Histogram(Depth);1374.180786;2080;504;184;32;64
Histogram(Depth);1374.174927;2300;480;176;64;128
Histogram(Depth);1374.174072;0;1152;195;48;96
Histogram(Depth);1374.129517;80;728;192;32;64
Histogram(Depth);1374.129395;3260;752;176;64;128
Histogram(Depth);1374.090332;200;612;184;48;96
Histogram(Depth);1374.084473;120;840;160;48;96
Histogram(Depth);1373.903931;4740;680;160;32;64
Histogram(Depth);1373.486084;280;858;164;104;208
Histogram(Depth);1373.460083;40;608;184;32;64
Histogram(Depth);1373.415039;4680;684;196;48;96
Histogram(Depth);1373.222778;2360;220;131;80;160
Histogram(Depth);1373.151733;0;380;131;80;160
Histogram(Depth);1373.018921;4780;1152;219;48;96
Histogram(Depth);1372.971191;480;464;192;64;128
Histogram(Depth);1372.784790;160;720;196;48;96
Histogram(Depth);1372.761353;4560;824;136;32;64
Histogram(Depth);1372.707886;4940;220;131;80;160
Histogram(Depth);1372.482422;520;400;131;80;160
Histogram(Depth);1372.343628;640;442;164;104;208
Histogram(Depth);1372.340942;2060;400;172;80;160
Histogram(Depth);1372.317505;2480;1120;152;80;160
Histogram(Depth);1372.104248;3080;828;112;48;96
Histogram(Depth);1372.033203;620;804;124;48;96
Histogram(Depth);1372.013794;0;1140;255;48;96
Histogram(Depth);1371.942871;0;336;123;48;96
Histogram(Depth);1371.899658;2060;1140;196;48;96
Histogram(Depth);1371.828735;1500;468;164;104;208
Histogram(Depth);1371.827393;5120;1068;124;48;96
Histogram(Depth);1371.756348;4000;924;112;48;96
Histogram(Depth);1371.498901;400;360;112;80;160
Histogram(Depth);1371.383545;2080;24;184;48;96
Histogram(Depth);1371.338501;2360;1164;207;48;96
Histogram(Depth);1371.312500;540;900;112;48;96
Histogram(Depth);1371.267578;3400;456;124;48;96
Histogram(Depth);1371.198486;1500;552;160;96;192
Histogram(Depth);1371.126099;2220;0;124;48;96
Histogram(Depth);1371.081055;760;876;196;48;96
Histogram(Depth);1371.010132;0;408;123;48;96
Histogram(Depth);1370.895996;5460;672;192;64;128
Histogram(Depth);1370.894653;2060;1140;112;48;96
Histogram(Depth);1370.868652;740;1008;196;48;96
Histogram(Depth);1370.823730;200;598;164;104;208
Histogram(Depth);1370.823608;240;360;124;48;96
Histogram(Depth);1370.637207;7060;576;124;48;96
Histogram(Depth);1370.566284;740;1008;232;48;96
Histogram(Depth);1370.422974;4400;320;131;80;160
Histogram(Depth);1370.405884;1300;1140;191;80;160
Histogram(Depth);1370.379761;2260;288;148;48;96
Histogram(Depth);1370.334839;4660;840;124;48;96
Histogram(Depth);1370.193359;240;560;172;80;160
Histogram(Depth);1369.979126;160;492;184;48;96
Histogram(Depth);1369.934204;440;320;176;64;128
Histogram(Depth);1369.490356;5460;640;192;80;160
Histogram(Depth);1369.490234;1160;300;131;80;160
Histogram(Depth);1369.303833;6680;576;176;64;128
Histogram(Depth);1369.046387;1180;960;148;48;96
Histogram(Depth);1369.001465;6480;600;131;80;160
Histogram(Depth);1368.954590;20;824;136;32;64
Histogram(Depth);1368.859985;6420;640;152;80;160
Histogram(Depth);1368.557617;1540;340;131;80;160
Histogram(Depth);1367.835449;2780;624;135;96;192
Histogram(Depth);6.579465;7360;160;172;80;160
Histogram(Depth);6.560859;1840;228;160;48;96
Histogram(Depth);6.508465;260;20;132;80;160
Histogram(Depth);6.489858;20;1116;148;48;96
Histogram(Depth);6.489068;500;1000;192;80;160
Histogram(Depth);6.470461;100;960;160;96;192
Histogram(Depth);6.469458;200;744;160;48;96
Histogram(Depth);6.450061;6580;352;144;64;128
Histogram(Depth);6.418067;300;1104;152;32;64
Histogram(Depth);6.399460;0;1164;123;48;96
Histogram(Depth);6.397667;3160;720;144;64;128
Histogram(Depth);6.379061;60;564;172;48;96
Histogram(Depth);6.374406;2980;1040;164;104;208
Histogram(Depth);6.303405;820;1152;168;32;64
Histogram(Depth);6.284008;440;1164;124;48;96
Histogram(Depth);6.231614;1060;312;196;48;96
Histogram(Depth);6.213007;0;1140;123;48;96
Histogram(Depth);6.064601;1680;800;132;80;160
Histogram(Depth);6.045994;120;288;136;48;96
