Name;Score;ImageNumber;X;Y;Width;Height
LBP(RGB);21.617214;4620;900;184;48;96
LBP(RGB);20.266798;860;1092;208;48;96
LBP(RGB);20.211790;2640;96;160;64;128
LBP(RGB);20.156643;4620;888;196;48;96
LBP(RGB);20.117599;4620;896;216;32;64
LBP(RGB);19.406145;2100;1176;148;48;96
LBP(RGB);19.267950;4620;864;200;32;64
LBP(RGB);19.220972;2920;272;207;64;128
LBP(RGB);19.061356;4860;948;196;48;96
LBP(RGB);18.899628;5540;1056;239;64;128
LBP(RGB);18.873823;4260;80;132;80;160
LBP(RGB);18.781134;4360;340;172;80;160
LBP(RGB);18.769955;4800;1056;160;96;192
LBP(RGB);18.584213;2460;156;124;48;96
LBP(RGB);18.505909;1140;1080;172;80;160
LBP(RGB);18.368050;4360;1100;172;80;160
LBP(RGB);18.364130;1740;300;136;48;96
LBP(RGB);18.330847;2640;1088;240;64;128
LBP(RGB);18.321371;1540;96;123;48;96
LBP(RGB);18.175049;3640;1116;244;48;96
LBP(RGB);17.912855;2340;756;232;48;96
LBP(RGB);17.808184;920;12;268;48;96
LBP(RGB);17.801754;6800;924;220;48;96
LBP(RGB);17.801588;5980;1088;160;64;128
LBP(RGB);17.741705;5100;1088;144;64;128
LBP(RGB);17.459707;1440;304;256;32;64
LBP(RGB);17.448114;4280;1152;208;64;128
LBP(RGB);17.431969;6320;828;232;48;96
LBP(RGB);17.335335;6360;1188;172;48;96
LBP(RGB);17.326662;960;1152;244;48;96
LBP(RGB);17.244682;3820;1136;144;64;128
LBP(RGB);17.178465;2440;1014;112;104;208
LBP(RGB);17.144842;5140;832;192;64;128
LBP(RGB);17.141523;4040;128;240;64;128
LBP(RGB);17.136776;7220;1040;132;80;160
LBP(RGB);17.124832;5440;1188;184;48;96
LBP(RGB);17.115227;5160;60;172;80;160
LBP(RGB);17.109314;6200;352;216;32;64
LBP(RGB);17.030483;4280;1080;244;48;96
LBP(RGB);17.008018;4000;1104;136;48;96
LBP(RGB);17.000961;2320;1056;136;96;192
LBP(RGB);16.990133;4200;1008;208;48;96
LBP(RGB);16.896986;6300;1100;212;80;160
LBP(RGB);16.870314;6600;1044;208;48;96
LBP(RGB);16.808634;6260;768;160;48;96
LBP(RGB);16.787848;4620;858;138;104;208
LBP(RGB);16.682388;3660;1116;256;48;96
LBP(RGB);16.667307;1300;960;123;48;96
LBP(RGB);16.610544;4700;72;144;32;64
LBP(RGB);16.584684;6940;904;200;32;64
LBP(RGB);16.552231;3020;1088;112;128;256
LBP(RGB);16.490799;2780;1008;183;48;96
LBP(RGB);16.477594;7160;1060;152;80;160
LBP(RGB);16.427435;6600;1048;216;32;64
LBP(RGB);16.417776;6980;1168;144;64;128
LBP(RGB);16.412325;3240;324;196;48;96
LBP(RGB);16.382305;4240;752;192;32;64
LBP(RGB);16.206350;2420;384;192;64;128
LBP(RGB);16.099680;2480;852;208;48;96
LBP(RGB);16.089588;20;732;172;48;96
LBP(RGB);16.054974;6420;80;160;32;64
LBP(RGB);16.029243;7060;1160;152;80;160
LBP(RGB);15.967730;6060;16;152;32;64
LBP(RGB);15.932144;5180;24;136;32;64
LBP(RGB);15.904630;2800;1112;168;32;64
LBP(RGB);15.879515;3520;168;220;48;96
LBP(RGB);15.870020;940;80;200;32;64
LBP(RGB);15.745510;4000;304;240;64;128
LBP(RGB);15.707838;5320;1088;232;32;64
LBP(RGB);15.698129;4740;832;224;64;128
LBP(RGB);15.684279;3260;224;176;64;128
LBP(RGB);15.680404;760;192;160;96;192
LBP(RGB);15.649124;5300;1032;296;32;64
LBP(RGB);15.644730;880;1040;112;80;160
LBP(RGB);15.609706;6340;1164;160;48;96
LBP(RGB);15.570019;40;256;192;64;128
LBP(RGB);15.547434;4800;1064;280;32;64
LBP(RGB);15.539070;5580;1040;138;104;208
LBP(RGB);15.514653;840;32;232;32;64
LBP(RGB);15.500464;4800;1104;176;64;128
LBP(RGB);15.471847;2440;1092;164;104;208
LBP(RGB);15.470778;5280;1056;160;96;192
LBP(RGB);15.469606;6780;120;172;48;96
LBP(RGB);15.442549;6360;1000;128;32;64
LBP(RGB);15.440734;960;1164;268;48;96
LBP(RGB);15.435018;1840;1016;296;32;64
LBP(RGB);15.401523;2120;888;172;48;96
LBP(RGB);15.368865;5160;976;264;32;64
LBP(RGB);15.330262;7160;1128;172;48;96
LBP(RGB);15.323457;2440;1136;192;64;128
LBP(RGB);15.308098;380;432;208;32;64
LBP(RGB);15.305541;5440;948;268;48;96
LBP(RGB);15.293674;4860;132;124;48;96
LBP(RGB);15.287616;4800;988;138;104;208
LBP(RGB);15.271370;2040;936;256;32;64
LBP(RGB);15.254517;7160;1024;112;64;128
LBP(RGB);15.236444;6180;936;272;32;64
LBP(RGB);15.201110;7440;1056;192;64;128
LBP(RGB);15.196631;920;1048;216;32;64
LBP(RGB);15.196311;3140;1024;128;64;128
LBP(RGB);15.171022;5300;1160;200;32;64
LBP(RGB);15.166016;1520;1164;160;48;96
LBP(RGB);15.148026;7200;26;138;104;208
LBP(RGB);15.139410;760;192;192;64;128
LBP(RGB);15.138225;4180;1056;232;32;64
LBP(RGB);15.136950;1140;1128;160;96;192
LBP(RGB);15.122162;2540;1200;192;32;64
LBP(RGB);15.115053;2340;784;136;32;64
LBP(RGB);15.102172;2640;272;128;64;128
LBP(RGB);15.100680;1680;1104;112;32;64
LBP(RGB);15.091590;6180;872;176;32;64
LBP(RGB);15.089885;3940;40;200;32;64
LBP(RGB);15.089762;5900;872;168;32;64
LBP(RGB);15.085723;2360;960;191;64;128
LBP(RGB);15.077063;1920;1184;136;32;64
LBP(RGB);15.075335;3800;816;176;32;64
LBP(RGB);15.066018;6620;992;128;64;128
LBP(RGB);15.059175;7160;1120;152;80;160
LBP(RGB);15.046594;3620;896;152;32;64
LBP(RGB);15.040137;840;400;144;64;128
LBP(RGB);15.034389;4280;272;136;32;64
LBP(RGB);15.031539;3800;880;212;80;160
LBP(RGB);15.025546;5600;920;208;32;64
LBP(RGB);15.017022;1540;1000;231;32;64
LBP(RGB);15.005054;7300;48;152;32;64
LBP(RGB);14.995051;5780;1068;196;48;96
LBP(RGB);14.990836;1840;888;256;48;96
LBP(RGB);14.987469;7160;1116;208;48;96
LBP(RGB);14.967446;5860;1208;184;32;64
LBP(RGB);14.936378;6980;0;240;32;64
LBP(RGB);14.936233;6140;144;240;64;128
LBP(RGB);14.932101;2420;0;232;48;96
LBP(RGB);14.927492;7320;720;127;64;128
LBP(RGB);14.925530;6800;0;112;96;192
LBP(RGB);14.925385;5300;1024;160;64;128
LBP(RGB);14.922558;3980;828;148;48;96
