Name;Score;ImageNumber;X;Y;Width;Height
S2HOG(RGB);44.133682;7260;344;176;32;64
S2HOG(RGB);43.544518;4200;1056;200;32;64
S2HOG(RGB);43.374435;1080;1184;296;32;64
S2HOG(RGB);42.063683;4320;224;232;32;64
S2HOG(RGB);42.057564;5800;768;120;32;64
S2HOG(RGB);41.419884;4920;344;144;32;64
S2HOG(RGB);41.370678;3600;0;232;32;64
S2HOG(RGB);40.789654;2200;640;240;32;64
S2HOG(RGB);40.582485;3060;376;192;32;64
S2HOG(RGB);40.549549;5320;1048;120;32;64
S2HOG(RGB);40.531208;1180;64;128;32;64
S2HOG(RGB);40.500240;1500;256;208;64;128
S2HOG(RGB);40.370312;3080;248;184;32;64
S2HOG(RGB);40.354271;1920;180;196;48;96
S2HOG(RGB);40.293163;6280;1056;224;32;64
S2HOG(RGB);39.960712;3980;200;168;32;64
S2HOG(RGB);39.871243;5160;1144;176;32;64
S2HOG(RGB);39.775799;180;320;168;32;64
S2HOG(RGB);39.573162;7380;120;152;80;160
S2HOG(RGB);39.532951;1220;584;191;32;64
S2HOG(RGB);39.383781;5180;568;240;32;64
S2HOG(RGB);39.095261;2200;840;248;32;64
S2HOG(RGB);39.039558;1600;216;271;32;64
S2HOG(RGB);39.023426;7260;744;128;32;64
S2HOG(RGB);38.996120;2360;616;207;32;64
S2HOG(RGB);38.869827;6380;232;200;32;64
S2HOG(RGB);38.778534;1820;144;232;32;64
S2HOG(RGB);38.687099;7480;960;280;32;64
S2HOG(RGB);38.656567;4360;704;192;64;128
S2HOG(RGB);38.622131;6140;376;240;32;64
S2HOG(RGB);38.558598;4020;1144;280;32;64
S2HOG(RGB);38.520733;2020;936;176;32;64
S2HOG(RGB);38.500839;4160;168;264;32;64
S2HOG(RGB);38.482269;1980;84;208;48;96
S2HOG(RGB);38.474094;820;336;248;32;64
S2HOG(RGB);38.344040;3240;1152;200;32;64
S2HOG(RGB);38.298710;1820;976;240;32;64
S2HOG(RGB);38.279888;100;1000;168;32;64
S2HOG(RGB);38.276970;5640;896;192;32;64
S2HOG(RGB);38.252991;4800;1200;136;32;64
S2HOG(RGB);38.228481;4620;1048;216;32;64
S2HOG(RGB);38.196712;1740;896;216;32;64
S2HOG(RGB);38.184151;4340;976;224;32;64
S2HOG(RGB);38.120682;1140;344;152;32;64
S2HOG(RGB);38.082638;6340;32;272;32;64
S2HOG(RGB);38.076614;5100;396;220;48;96
S2HOG(RGB);38.058540;5960;240;240;32;64
S2HOG(RGB);38.009491;6360;128;272;32;64
S2HOG(RGB);38.008408;6400;1016;120;32;64
S2HOG(RGB);38.002453;6280;112;208;64;128
S2HOG(RGB);37.969086;3440;408;144;32;64
S2HOG(RGB);37.872314;6180;1116;196;48;96
S2HOG(RGB);37.836456;2940;544;216;32;64
S2HOG(RGB);37.826344;2960;108;196;48;96
S2HOG(RGB);37.790588;5680;392;184;32;64
S2HOG(RGB);37.682034;7140;84;196;48;96
S2HOG(RGB);37.633518;940;20;192;80;160
S2HOG(RGB);37.598423;1740;1056;112;96;192
S2HOG(RGB);37.584576;2160;864;176;32;64
S2HOG(RGB);37.564083;6140;576;208;48;96
S2HOG(RGB);37.502556;1460;344;176;32;64
S2HOG(RGB);37.497578;1260;60;148;48;96
S2HOG(RGB);37.492638;1980;972;196;48;96
S2HOG(RGB);37.477840;6040;1064;128;32;64
S2HOG(RGB);37.462646;2020;56;200;32;64
S2HOG(RGB);37.461403;5820;376;160;32;64
S2HOG(RGB);37.406105;6280;928;240;32;64
S2HOG(RGB);37.393295;340;60;208;48;96
