Name;Score;ImageNumber;X;Y;Width;Height
SURF(RGB);7.498765;2480;592;216;32;64
SURF(RGB);6.867047;6460;56;248;32;64
SURF(RGB);6.813082;1860;496;232;32;64
SURF(RGB);6.698639;4560;1168;264;32;64
SURF(RGB);6.696601;6700;1072;208;32;64
SURF(RGB);6.615780;6540;944;280;32;64
SURF(RGB);6.484170;2440;248;136;32;64
SURF(RGB);6.471592;2200;996;136;48;96
SURF(RGB);6.433597;2080;360;136;48;96
SURF(RGB);6.399990;5220;32;192;64;128
SURF(RGB);6.399987;4400;84;123;48;96
SURF(RGB);6.399977;1060;104;164;104;208
SURF(RGB);6.399960;5620;256;160;64;128
SURF(RGB);6.399960;2480;820;212;80;160
SURF(RGB);6.399950;1460;344;168;32;64
SURF(RGB);6.399948;4400;540;191;80;160
SURF(RGB);6.399929;3020;832;264;32;64
SURF(RGB);6.399926;2420;156;208;48;96
SURF(RGB);6.399919;1340;672;288;32;64
SURF(RGB);6.399918;6660;960;160;32;64
SURF(RGB);6.399906;260;176;256;32;64
SURF(RGB);6.399896;4540;24;136;32;64
SURF(RGB);6.399878;5920;930;112;120;240
SURF(RGB);6.399872;6460;1048;296;32;64
SURF(RGB);6.399846;5100;440;192;32;64
SURF(RGB);6.399830;3980;192;220;48;96
SURF(RGB);6.399810;4940;616;143;32;64
SURF(RGB);6.399801;1500;960;212;80;160
SURF(RGB);6.399794;1160;696;207;32;64
SURF(RGB);6.399778;800;328;248;32;64
SURF(RGB);6.399694;2100;48;224;32;64
SURF(RGB);6.399692;2880;1068;160;48;96
SURF(RGB);6.399677;20;492;208;48;96
SURF(RGB);6.399659;6720;120;208;48;96
SURF(RGB);6.399657;5180;338;164;104;208
SURF(RGB);6.399642;6880;944;144;32;64
SURF(RGB);6.399640;400;336;240;64;128
SURF(RGB);6.399635;5280;544;240;32;64
SURF(RGB);6.399630;3460;1104;248;32;64
SURF(RGB);6.399628;1260;728;272;32;64
SURF(RGB);6.399625;7480;1032;152;32;64
SURF(RGB);6.399603;2520;304;192;64;128
SURF(RGB);6.399593;1480;1168;208;64;128
SURF(RGB);6.399592;1620;992;272;32;64
SURF(RGB);6.399581;3220;672;160;64;128
SURF(RGB);6.399569;6620;720;220;48;96
SURF(RGB);6.399559;40;896;304;32;64
SURF(RGB);6.399554;6000;480;196;48;96
SURF(RGB);6.399528;80;208;232;32;64
SURF(RGB);6.399524;1820;108;244;48;96
SURF(RGB);6.399510;6120;1184;176;32;64
SURF(RGB);6.399489;2860;468;183;48;96
SURF(RGB);6.399488;5300;588;220;48;96
SURF(RGB);6.399468;1060;156;268;48;96
SURF(RGB);6.399467;0;376;199;32;64
SURF(RGB);6.399462;4580;620;131;80;160
SURF(RGB);6.399451;4580;636;219;48;96
SURF(RGB);6.399450;7160;1000;192;80;160
SURF(RGB);6.399437;5500;1088;232;32;64
SURF(RGB);6.399433;1020;8;136;32;64
SURF(RGB);6.399429;2700;808;168;32;64
SURF(RGB);6.399428;820;780;212;80;160
SURF(RGB);6.399409;6160;1160;304;32;64
SURF(RGB);6.399394;7340;160;176;64;128
SURF(RGB);6.399391;1560;408;128;32;64
SURF(RGB);6.399347;760;72;120;32;64
SURF(RGB);6.399346;1640;264;271;32;64
SURF(RGB);6.399336;3700;400;127;32;64
SURF(RGB);6.399292;760;520;184;32;64
SURF(RGB);6.399277;6820;144;176;64;128
SURF(RGB);6.399271;4480;1088;296;32;64
SURF(RGB);6.399267;4980;1080;232;48;96
SURF(RGB);6.399263;1520;768;192;32;64
SURF(RGB);6.399243;560;944;160;32;64
SURF(RGB);6.399235;4780;372;243;48;96
SURF(RGB);6.399210;5020;464;296;32;64
SURF(RGB);6.399200;4500;832;164;104;208
SURF(RGB);6.399180;540;740;192;80;160
SURF(RGB);6.399163;0;416;143;64;128
SURF(RGB);6.399159;6540;720;132;80;160
SURF(RGB);6.399147;6460;992;240;64;128
SURF(RGB);6.399143;6540;584;256;32;64
SURF(RGB);6.399140;6260;900;184;48;96
SURF(RGB);6.399137;140;920;288;32;64
SURF(RGB);6.399089;320;800;152;80;160
SURF(RGB);6.399085;1400;1032;232;32;64
SURF(RGB);6.399078;4540;40;288;32;64
SURF(RGB);6.399065;6720;904;216;32;64
SURF(RGB);6.399063;4380;208;138;104;208
SURF(RGB);6.399047;4860;1008;184;32;64
SURF(RGB);6.399044;880;664;248;32;64
SURF(RGB);6.399038;840;756;220;48;96
SURF(RGB);6.399034;2200;580;192;80;160
SURF(RGB);6.399027;2200;924;208;48;96
SURF(RGB);6.399008;4660;560;240;64;128
SURF(RGB);6.398980;720;952;248;32;64
SURF(RGB);6.398972;520;824;215;32;64
SURF(RGB);6.398972;3880;472;144;32;64
SURF(RGB);6.398960;4920;312;152;32;64
SURF(RGB);6.398956;2700;960;168;32;64
SURF(RGB);6.398933;2740;560;280;32;64
SURF(RGB);6.398926;900;1092;256;48;96
SURF(RGB);6.398925;40;864;264;32;64
SURF(RGB);6.398920;5080;1008;140;112;224
SURF(RGB);6.398892;6420;480;160;48;96
SURF(RGB);6.398874;940;464;200;32;64
SURF(RGB);6.398864;3060;472;232;32;64
SURF(RGB);6.398861;4420;960;112;64;128
SURF(RGB);6.398837;6880;928;152;32;64
SURF(RGB);6.398836;320;632;216;32;64
SURF(RGB);6.398835;240;448;224;64;128
SURF(RGB);6.398831;2660;272;224;64;128
SURF(RGB);6.398828;880;816;152;32;64
SURF(RGB);6.398769;1800;928;288;32;64
SURF(RGB);6.398733;200;408;224;32;64
SURF(RGB);6.398710;3180;400;192;80;160
SURF(RGB);6.398710;2760;360;200;32;64
SURF(RGB);6.398706;6240;820;171;80;160
SURF(RGB);6.398688;1440;632;200;32;64
SURF(RGB);6.398684;1520;1044;268;48;96
SURF(RGB);6.398672;2600;720;256;48;96
SURF(RGB);6.398671;4820;240;128;64;128
SURF(RGB);6.398664;1840;220;212;80;160
SURF(RGB);6.398640;2760;960;256;48;96
