Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;FPPI;MissRate;EvaluationTimePerWindowMS;ValueShift;WorstFalsePositiveImages
CoOccurrence(RGB)+HOG(RGB)[S]_round0;50;1824940;1108;1733;0.028043;0.000607;0.043178;0.028043;0.034002;2.954667;0.971957;1.815775;-30.000000;3620,1820,2160,2440,2920,1200,4420,1560,6800,1580,4180,7420,1120,2800,540,1180,2780,6400,400,2460,4640,5560,780,760,1380,2060,3160,4260,740,4060,5480,720,2640,6980,620,1960,3880,4740,4820,3320,3480,1220,2480,3120,5000,5400,5780,6320,1840,3140
CoOccurrence(RGB)+HOG(RGB)[S]_round0;50;1824898;1150;1733;0.028043;0.000630;0.041667;0.028043;0.033523;3.066667;0.971957;1.815775;-29.800000;3620,1820,2160,2440,2920,1200,4420,1560,6800,1580,4180,7420,540,1120,1180,2800,6400,400,2780,4640,2460,5560,780,2060,760,1380,3160,4260,740,4060,5480,6980,720,2640,4820,620,1960,3480,3880,4740,3120,3320,1220,2480,5000,5400,5780,6320,1840,3140
CoOccurrence(RGB)+HOG(RGB)[S]_round0;51;1824861;1187;1732;0.028603;0.000650;0.041195;0.028603;0.033764;3.165333;0.971397;1.815775;-29.600000;3620,1820,2160,2440,2920,1200,4420,1560,1580,6800,1120,4180,7420,540,6400,1180,2780,2800,400,2460,4640,5560,780,2060,760,1380,3160,4260,740,4060,5480,6980,720,2640,3880,4740,4820,620,1960,3480,1220,3120,3320,3740,5400,2480,5000,5780,6320,1840
CoOccurrence(RGB)+HOG(RGB)[S]_round0;51;1824821;1227;1732;0.028603;0.000672;0.039906;0.028603;0.033322;3.272000;0.971397;1.815775;-29.400000;3620,1820,2160,2440,2920,1200,4420,1560,1580,6800,1120,7420,4180,6400,540,1180,2780,2800,400,2460,4640,5560,780,2060,1380,4260,3160,760,740,4060,5480,6980,720,2640,3880,4740,4820,620,1960,3480,5780,1220,3120,3320,3740,5400,2480,3640,5000,6320
CoOccurrence(RGB)+HOG(RGB)[S]_round0;51;1824770;1278;1732;0.028603;0.000700;0.038375;0.028603;0.032776;3.408000;0.971397;1.815775;-29.200000;3620,1820,2160,2440,2920,1200,4420,6800,1560,1580,1120,7420,4180,6400,540,2800,1180,400,2780,2460,4640,5560,780,2060,1380,4260,760,3160,4060,740,5480,6980,620,720,2640,3480,3880,4740,4820,1960,5400,5780,1220,3120,3320,3640,3740,6320,2480,4300
CoOccurrence(RGB)+HOG(RGB)[S]_round0;54;1824707;1341;1729;0.030286;0.000734;0.038710;0.030286;0.033984;3.576000;0.969714;1.815775;-29.000000;3620,1820,2160,2920,2440,1200,1560,4420,6800,1580,1120,7420,540,4180,5560,6400,2800,1180,2780,400,780,2460,4640,1380,2060,760,4260,3160,4060,4740,5480,6980,720,740,4820,620,2640,3480,3880,1960,3320,5400,5780,1220,2480,3120,3640,3740,6320,4300
CoOccurrence(RGB)+HOG(RGB)[S]_round0;56;1824654;1394;1727;0.031408;0.000763;0.038621;0.031408;0.034643;3.717333;0.968592;1.815775;-28.800000;3620,1820,2160,2440,2920,1200,6800,1560,1580,4420,1120,5560,7420,540,4180,1180,2800,6400,2780,400,2460,780,1380,4640,2060,760,4260,3160,4060,6980,720,4740,5480,6320,740,4820,5400,620,2640,3320,3480,3880,1960,2480,5780,1220,3120,3640,3740,5120
CoOccurrence(RGB)+HOG(RGB)[S]_round0;59;1824607;1441;1724;0.033090;0.000789;0.039333;0.033090;0.035943;3.842667;0.966910;1.815775;-28.600000;3620,1820,2160,2440,2920,1200,1580,1560,6800,4420,1120,7420,2800,5560,540,4180,6400,1180,2780,400,2460,780,1380,4640,2060,760,4260,720,3160,4060,4740,6320,6980,740,5480,2640,3880,4820,5400,620,1960,3320,3480,5780,1220,2480,3120,5120,3640,3740
CoOccurrence(RGB)+HOG(RGB)[S]_round0;62;1824554;1494;1721;0.034773;0.000818;0.039846;0.034773;0.037137;3.984000;0.965227;1.815775;-28.400000;3620,1820,2160,2440,2920,1200,6800,1580,1560,4420,1120,7420,540,4180,5560,2800,6400,1180,1380,2780,400,2460,4640,780,2060,4260,4740,760,720,740,3160,4060,6320,6980,2640,5480,1960,3880,4820,5400,620,3320,3480,5780,1220,2480,3120,5120,3640,3740
CoOccurrence(RGB)+HOG(RGB)[S]_round0;65;1824485;1563;1718;0.036455;0.000856;0.039926;0.036455;0.038112;4.168000;0.963545;1.815775;-28.200000;3620,1820,2160,2920,2440,1200,6800,1560,1580,4420,1120,6400,7420,540,5560,1180,4180,2800,2780,1380,400,2460,780,4640,4260,2060,2640,4740,6320,760,3160,720,740,3880,4060,6980,5480,1960,3480,4820,5400,620,1220,2480,3120,3320,5780,5120,7160,2180
CoOccurrence(RGB)+HOG(RGB)[S]_round0;67;1824438;1610;1716;0.037577;0.000882;0.039952;0.037577;0.038728;4.293333;0.962423;1.815775;-28.000000;3620,1820,2160,2920,2440,1200,6800,1560,1580,4420,7420,540,1120,6400,5560,1180,4180,2800,2780,400,1380,2460,780,2640,4640,4260,4740,2060,760,3160,6320,720,740,3880,4060,5480,6980,3480,1960,2480,4820,5400,620,1220,3120,3320,5780,7160,2180,3640
CoOccurrence(RGB)+HOG(RGB)[S]_round0;67;1824384;1664;1716;0.037577;0.000911;0.038706;0.037577;0.038133;4.437333;0.962423;1.815775;-27.800000;3620,1820,2160,2920,2440,1200,6800,1560,4420,1580,6400,1120,7420,540,4180,5560,1180,2800,1380,2460,2780,400,780,2640,4260,4640,2060,4740,760,3160,6320,1960,3880,4060,6980,720,740,5480,3480,7160,1220,2480,4820,5400,620,2180,3120,3320,3740,5780
CoOccurrence(RGB)+HOG(RGB)[S]_round0;68;1824320;1728;1715;0.038138;0.000946;0.037862;0.038138;0.037999;4.608000;0.961862;1.815775;-27.600000;3620,1820,2160,2920,2440,1200,6800,4420,1560,1580,6400,540,7420,1120,4180,5560,1180,2800,2780,1380,2460,400,780,2640,2060,4260,4640,4740,3160,4060,6980,760,6320,1960,3880,5480,720,740,7160,1220,3480,4820,2480,3740,4300,5400,620,2180,3120,3320
CoOccurrence(RGB)+HOG(RGB)[S]_round0;69;1824249;1799;1714;0.038699;0.000985;0.036938;0.038699;0.037798;4.797333;0.961301;1.815775;-27.400000;3620,1820,2160,2920,2440,1200,6800,4420,6400,1560,1580,540,7420,1120,4180,5560,1180,2800,1380,2460,2780,400,2640,780,4260,6980,2060,4640,4740,760,3160,4060,6320,740,1960,3880,5480,720,2480,7160,1220,3480,4820,5780,3320,3740,4300,5400,6920,620
CoOccurrence(RGB)+HOG(RGB)[S]_round0;73;1824182;1866;1710;0.040942;0.001022;0.037648;0.040942;0.039226;4.976000;0.959058;1.815775;-27.200000;3620,1820,2160,2920,2440,1200,6800,1560,4420,1580,6400,540,7420,1120,5560,4180,1180,2800,1380,2460,2780,400,2640,4260,780,6980,2060,4640,4740,760,4060,3160,5480,6320,740,1220,1960,3880,720,2480,7160,3480,4820,5780,6920,620,2180,3320,3740,4300
CoOccurrence(RGB)+HOG(RGB)[S]_round0;76;1824099;1949;1707;0.042625;0.001067;0.037531;0.042625;0.039916;5.197333;0.957375;1.815775;-27.000000;3620,1820,2160,2920,2440,1200,6800,1560,1580,4420,6400,540,5560,7420,1120,1180,4180,2800,1380,2460,2780,2640,4260,400,780,4740,6980,2060,4640,5480,760,4060,3160,6320,720,1220,1960,5780,6920,740,2480,3480,3880,7160,4820,3320,620,2180,3740,4300
CoOccurrence(RGB)+HOG(RGB)[S]_round0;80;1824027;2021;1703;0.044868;0.001107;0.038077;0.044868;0.041195;5.389333;0.955132;1.815775;-26.800000;3620,1820,2160,2920,2440,1200,6800,1580,1560,4420,6400,540,5560,1120,7420,1180,2800,4180,2460,1380,2640,2780,400,4260,780,4640,4740,6980,2060,4060,5480,760,1220,6320,1960,3160,720,740,2480,3880,5780,6920,3480,4820,7160,2180,3320,5400,620,3740
CoOccurrence(RGB)+HOG(RGB)[S]_round0;80;1823946;2102;1703;0.044868;0.001151;0.036664;0.044868;0.040353;5.605333;0.955132;1.815775;-26.600000;3620,1820,2920,2160,2440,1200,6800,1580,1560,6400,4420,5560,540,1120,7420,2800,1180,2460,4180,1380,2640,2780,400,780,4260,6980,5480,4640,4740,1220,2060,760,4060,1960,3160,6320,2480,6920,720,740,3480,3880,4820,5780,3320,7160,2180,5400,5720,620
