Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;FPPI;MissRate;EvaluationTimePerWindowMS;ValueShift;WorstFalsePositiveImages
HOG(RGB)+LBP(RGB)[S]_round0;8;1825912;136;1775;0.004487;0.000074;0.055556;0.004487;0.008303;0.362667;0.995513;1.413159;-30.000000;2160,1960,3640,2440,3380,3880,6920,760,2060,2920,4820,4960,6820,620,1840,2260,2800,2960,3240,3280,3460,3540,3560,3700,3860,4120,4360,5260,120,540,680,840,920,980,1020,1100,1340,1580,1680,1720,1800,2000,2080,2120,2140,2340,2380,2640,3100,3180
HOG(RGB)+LBP(RGB)[S]_round0;8;1825910;138;1775;0.004487;0.000076;0.054795;0.004487;0.008294;0.368000;0.995513;1.413159;-29.800000;2160,1960,2440,3640,3380,3880,6920,760,2060,2920,4820,4960,6820,620,1840,2260,2800,2960,3240,3280,3460,3540,3560,3700,3860,4120,4360,5260,120,540,680,840,920,980,1020,1100,1340,1580,1680,1720,1800,2000,2080,2120,2140,2340,2380,2640,3100,3180
HOG(RGB)+LBP(RGB)[S]_round0;8;1825900;148;1775;0.004487;0.000081;0.051282;0.004487;0.008252;0.394667;0.995513;1.413159;-29.600000;2160,1960,3640,2440,3380,3880,6920,760,2060,2920,4820,4960,5260,6820,620,1020,1840,2080,2260,2800,2960,3240,3280,3460,3540,3560,3700,3860,4120,4360,6800,120,540,680,740,840,920,980,1100,1340,1580,1680,1720,1800,2000,2120,2140,2340,2380,2640
HOG(RGB)+LBP(RGB)[S]_round0;8;1825895;153;1775;0.004487;0.000084;0.049689;0.004487;0.008230;0.408000;0.995513;1.413159;-29.400000;2160,1960,3640,2440,3380,3880,6920,760,1840,2060,2920,4820,4960,5260,6820,620,1020,2080,2260,2800,2960,3240,3280,3460,3540,3560,3700,3860,4120,4360,5060,6800,120,540,680,740,840,920,980,1100,1340,1580,1680,1720,1800,2000,2120,2140,2340,2380
HOG(RGB)+LBP(RGB)[S]_round0;9;1825883;165;1774;0.005048;0.000090;0.051724;0.005048;0.009198;0.440000;0.994952;1.413159;-29.200000;2160,1960,2440,3640,3380,3880,5260,6920,760,1840,2060,2920,4820,4960,6820,620,1020,2080,2260,2640,2800,2960,3240,3280,3460,3480,3540,3560,3700,3860,4120,4140,4360,5060,5860,6800,120,140,540,680,740,840,920,980,1100,1340,1580,1680,1720,1800
HOG(RGB)+LBP(RGB)[S]_round0;10;1825872;176;1773;0.005609;0.000096;0.053763;0.005609;0.010157;0.469333;0.994391;1.413159;-29.000000;2160,1960,2440,3640,3380,3880,2060,5260,6920,760,1840,2640,2920,2960,4820,4960,6820,620,1020,2080,2260,2800,3240,3280,3460,3480,3540,3560,3700,3860,4120,4140,4360,5060,5860,6780,6800,120,140,540,680,740,840,920,980,1100,1340,1580,1680,1720
HOG(RGB)+LBP(RGB)[S]_round0;11;1825857;191;1772;0.006169;0.000105;0.054455;0.006169;0.011083;0.509333;0.993831;1.413159;-28.800000;2160,1960,2440,3640,3380,3880,2060,2920,2960,5260,6920,760,1840,2260,2640,2800,4820,4960,6820,620,1020,2080,3100,3240,3280,3420,3460,3480,3540,3560,3700,3860,4120,4140,4360,5060,5860,5980,6780,6800,120,140,540,680,740,840,920,980,1100,1340
HOG(RGB)+LBP(RGB)[S]_round0;11;1825843;205;1772;0.006169;0.000112;0.050926;0.006169;0.011006;0.546667;0.993831;1.413159;-28.600000;2160,1960,2440,3640,3380,3880,2060,2920,2960,5260,6920,760,1840,2260,2640,2800,3860,4820,4960,6820,620,1020,1580,2080,2380,3100,3240,3280,3420,3460,3480,3540,3560,3700,4120,4140,4360,5060,5840,5860,5980,6780,6800,120,140,540,680,740,780,840
HOG(RGB)+LBP(RGB)[S]_round0;11;1825829;219;1772;0.006169;0.000120;0.047826;0.006169;0.010929;0.584000;0.993831;1.413159;-28.400000;2160,1960,2440,3640,3380,2960,3880,2060,2920,4820,5260,6920,760,1020,1840,2260,2640,2800,3420,3560,3860,4960,5840,6820,620,1580,2080,2380,3100,3240,3280,3320,3460,3480,3540,3700,3980,4120,4140,4360,5060,5860,5980,6780,6800,20,120,140,540,680
HOG(RGB)+LBP(RGB)[S]_round0;11;1825812;236;1772;0.006169;0.000129;0.044534;0.006169;0.010837;0.629333;0.993831;1.413159;-28.200000;1960,3640,2160,2440,3380,2960,4820,3880,2060,2640,2920,5260,6920,760,1020,1840,2260,2800,3420,3460,3560,3860,4960,5840,6820,620,1580,1680,2080,2140,2380,3100,3240,3280,3320,3480,3540,3700,3980,4120,4140,4360,5060,5860,5980,6780,6800,7460,20,120
