Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;FPPI;MissRate;EvaluationTimePerWindowMS;ValueShift;WorstFalsePositiveImages
HOG(RGB)+S2HOG(RGB)[S]_round0;5;1825802;246;1778;0.002804;0.000135;0.019920;0.002804;0.004916;0.656000;0.997196;2.094894;-30.000000;1960,3640,2160,4820,6920,1920,2960,7160,2300,2440,2260,2480,2920,3460,3980,4120,5600,840,1800,2340,2560,2580,2640,3560,4260,5320,5680,5860,6400,240,460,620,760,920,1240,1580,1840,2800,3220,3320,3380,3420,3500,3520,4300,4440,4640,4980,5160,5280
HOG(RGB)+S2HOG(RGB)[S]_round0;5;1825792;256;1778;0.002804;0.000140;0.019157;0.002804;0.004892;0.682667;0.997196;2.094894;-29.800000;1960,3640,2160,6920,4820,1920,2480,2960,7160,2300,2440,2920,3980,2260,3460,4120,5600,840,1580,1800,2340,2560,2580,2640,3560,4260,4980,5320,5680,5860,6400,240,460,620,760,920,1240,1840,2800,3220,3320,3380,3420,3500,3520,3860,4300,4440,4640,5160
HOG(RGB)+S2HOG(RGB)[S]_round0;5;1825782;266;1778;0.002804;0.000146;0.018450;0.002804;0.004869;0.709333;0.997196;2.094894;-29.600000;1960,3640,2160,6920,4820,7160,1920,2440,2480,2960,2300,2920,3980,2260,3460,4120,5600,6400,840,1580,1800,2340,2560,2580,2640,3220,3560,4260,4980,5320,5680,5860,6780,240,460,620,760,920,1240,1840,2800,3320,3380,3420,3500,3520,3860,4300,4440,4640
HOG(RGB)+S2HOG(RGB)[S]_round0;5;1825771;277;1778;0.002804;0.000152;0.017730;0.002804;0.004843;0.738667;0.997196;2.094894;-29.400000;1960,3640,2160,6920,4820,7160,1920,2440,2480,2960,2300,2920,3980,1800,2260,3460,4120,5600,6400,840,1580,2340,2560,2580,2640,3220,3420,3560,3860,4260,4980,5280,5320,5680,5860,6780,240,460,620,760,920,1240,1840,2800,3320,3380,3500,3520,4300,4440
HOG(RGB)+S2HOG(RGB)[S]_round0;5;1825758;290;1778;0.002804;0.000159;0.016949;0.002804;0.004812;0.773333;0.997196;2.094894;-29.200000;1960,3640,2160,2480,6920,4820,7160,1920,2440,2960,2300,2920,3980,4120,5680,1800,2260,3220,3380,3460,5600,6400,840,1580,2340,2560,2580,2640,3420,3500,3560,3860,4260,4980,5280,5320,5860,6780,240,460,620,640,760,920,1240,1840,2080,2800,3320,3520
HOG(RGB)+S2HOG(RGB)[S]_round0;5;1825744;304;1778;0.002804;0.000166;0.016181;0.002804;0.004780;0.810667;0.997196;2.094894;-29.000000;1960,3640,2160,2480,6920,4820,7160,1920,2440,2960,2300,2920,3860,3980,4120,5680,1800,2260,3220,3380,3460,4980,5600,6400,840,920,1580,2340,2560,2580,2640,3420,3500,3560,4260,4300,5280,5320,5860,6780,7260,240,460,620,640,760,1020,1240,1840,2080
HOG(RGB)+S2HOG(RGB)[S]_round0;5;1825733;315;1778;0.002804;0.000173;0.015625;0.002804;0.004755;0.840000;0.997196;2.094894;-28.800000;1960,3640,2160,2480,6920,4820,7160,1920,2440,2920,2960,6400,2260,2300,3860,3980,4120,5680,920,1800,3220,3380,3460,4980,5600,840,1580,2340,2560,2580,2640,3420,3500,3560,4260,4300,5280,5320,5860,6780,7260,240,460,620,640,760,1020,1240,1840,2080
HOG(RGB)+S2HOG(RGB)[S]_round0;5;1825721;327;1778;0.002804;0.000179;0.015060;0.002804;0.004728;0.872000;0.997196;2.094894;-28.600000;1960,3640,2160,2480,6920,4820,7160,1920,2440,2920,2960,6400,2260,2300,3860,3980,4120,5680,920,1580,1800,3220,3380,3460,4980,5280,5600,5860,840,2080,2340,2560,2580,2640,2800,3420,3500,3560,4260,4300,5320,6780,7260,240,460,620,640,680,760,1020
HOG(RGB)+S2HOG(RGB)[S]_round0;6;1825705;343;1777;0.003365;0.000188;0.017192;0.003365;0.005629;0.914667;0.996635;2.094894;-28.400000;1960,3640,2160,2480,6920,4820,7160,1920,2440,2920,2960,3860,3980,6400,2260,2300,3380,4120,5600,5680,920,1580,1800,2800,3220,3460,4980,5280,5860,760,840,2080,2340,2560,2580,2640,3420,3500,3560,4260,4300,4720,5160,5320,6780,7260,240,460,620,640
HOG(RGB)+S2HOG(RGB)[S]_round0;6;1825689;359;1777;0.003365;0.000197;0.016438;0.003365;0.005587;0.957333;0.996635;2.094894;-28.200000;1960,3640,2160,2480,4820,6920,1920,2960,7160,2440,2920,3860,3980,4120,6400,2260,2300,3220,3380,5600,5680,5860,920,1580,1800,2800,3460,3500,4260,4980,5160,5280,240,400,760,840,2080,2340,2560,2580,2640,3420,3520,3560,4300,4720,5320,6040,6780,7260
HOG(RGB)+S2HOG(RGB)[S]_round0;7;1825674;374;1776;0.003926;0.000205;0.018373;0.003926;0.006470;0.997333;0.996074;2.094894;-28.000000;1960,3640,2160,2480,6920,4820,6400,1920,2960,3860,4120,7160,2440,2920,3980,5860,2260,2300,3220,3380,5600,5680,920,1580,1800,2080,2800,3460,3500,4260,4300,4980,5160,5280,7260,240,400,760,840,2340,2560,2580,2640,3420,3520,3560,4720,5320,6040,6780
HOG(RGB)+S2HOG(RGB)[S]_round0;8;1825650;398;1775;0.004487;0.000218;0.019704;0.004487;0.007309;1.061333;0.995513;2.094894;-27.800000;1960,3640,2160,2480,6400,4820,6920,1920,2960,3860,4120,7160,2260,2440,2920,3980,5860,2300,3220,3380,4300,5600,5680,620,920,1580,1800,2080,2560,2800,3460,3500,4260,4720,4980,5160,5280,7260,240,400,760,840,1020,2340,2580,2640,3420,3520,3560,5320
HOG(RGB)+S2HOG(RGB)[S]_round0;9;1825630;418;1774;0.005048;0.000229;0.021077;0.005048;0.008145;1.114667;0.994952;2.094894;-27.600000;1960,3640,2160,2480,4820,6400,6920,2960,1920,2920,3860,4120,5860,7160,2260,2440,3980,920,2080,2300,3220,3380,4300,4980,5600,5680,620,1580,1800,2560,2800,3460,3500,4260,4720,5160,5280,7260,240,400,760,840,1020,2340,2580,2640,3420,3520,3560,3880
HOG(RGB)+S2HOG(RGB)[S]_round0;9;1825618;430;1774;0.005048;0.000235;0.020501;0.005048;0.008101;1.146667;0.994952;2.094894;-27.400000;1960,3640,2160,2480,4820,6400,6920,2920,2960,1920,3860,4120,5860,7160,2080,2260,2440,3980,5600,920,2300,3220,3380,4300,4980,5680,620,1580,1800,2560,2800,3460,3500,4260,4720,5160,5280,7260,240,400,680,760,840,1020,2340,2580,2640,3420,3520,3560
HOG(RGB)+S2HOG(RGB)[S]_round0;11;1825592;456;1772;0.006169;0.000250;0.023555;0.006169;0.009778;1.216000;0.993831;2.094894;-27.200000;1960,3640,4820,2160,2480,6400,6920,2960,2920,4120,7160,1920,2440,3860,5860,2080,2260,3220,3980,5600,5680,920,2300,2560,3380,4300,4980,620,1580,1800,2800,3460,3500,3560,3880,4160,4260,4720,5160,5240,5280,6540,7260,240,400,680,760,840,1020,2340
HOG(RGB)+S2HOG(RGB)[S]_round0;11;1825574;474;1772;0.006169;0.000260;0.022680;0.006169;0.009700;1.264000;0.993831;2.094894;-27.000000;1960,3640,2480,4820,2160,6400,6920,2960,2440,2920,4120,7160,1920,3860,5860,2080,2260,3220,3880,3980,5600,5680,920,2300,2560,3380,4260,4300,4980,5240,620,1580,1800,2800,3460,3500,3560,4160,4720,5160,5280,6540,7260,240,400,680,760,840,1020,1240
HOG(RGB)+S2HOG(RGB)[S]_round0;14;1825556;492;1769;0.007852;0.000269;0.027668;0.007852;0.012232;1.312000;0.992148;2.094894;-26.800000;1960,3640,2480,2160,4820,2960,6400,6920,2440,2920,4120,5860,7160,1920,3860,2080,2260,2300,3220,3880,3980,5600,5680,920,2560,3380,3500,3560,4260,4300,4980,5160,5240,400,620,1580,1800,2800,3460,4160,4720,5280,6540,7260,240,680,760,840,1020,1240
HOG(RGB)+S2HOG(RGB)[S]_round0;15;1825528;520;1768;0.008413;0.000285;0.028037;0.008413;0.012942;1.386667;0.991587;2.094894;-26.600000;1960,3640,2480,2160,4820,6920,2960,6400,2440,2920,4120,3860,5860,7160,1920,3220,2080,2260,2300,3560,3880,3980,5160,5600,5680,400,920,2560,3380,3500,4260,4300,4980,5240,6540,620,760,840,1240,1580,1800,2800,3460,3520,4160,4720,5180,5280,6040,6780
HOG(RGB)+S2HOG(RGB)[S]_round0;17;1825495;553;1766;0.009534;0.000303;0.029825;0.009534;0.014450;1.474667;0.990466;2.094894;-26.400000;1960,3640,2160,2480,2960,4820,6920,2440,6400,2920,4120,5860,3860,7160,1920,2260,3220,5160,5680,2080,2300,3380,3560,3880,3980,4300,5180,5600,400,920,1240,2560,3500,4260,4980,5240,5320,6540,620,760,840,1580,1800,2800,3460,3520,4160,4720,5280,6040
HOG(RGB)+S2HOG(RGB)[S]_round0;17;1825474;574;1766;0.009534;0.000314;0.028765;0.009534;0.014322;1.530667;0.990466;2.094894;-26.200000;1960,3640,2160,4820,2480,2960,6920,2440,2920,6400,4120,5860,7160,3860,1920,2260,2300,3220,5160,5680,2080,3380,3560,3880,3980,4300,5180,5600,400,840,920,1240,2560,3500,3520,4260,4980,5240,5280,5320,6540,620,760,1260,1580,1800,2800,3460,4160,4720
HOG(RGB)+S2HOG(RGB)[S]_round0;18;1825444;604;1765;0.010095;0.000331;0.028939;0.010095;0.014969;1.610667;0.989905;2.094894;-26.000000;1960,3640,4820,2160,2480,6920,2920,2960,6400,2440,3860,4120,5860,7160,2260,2300,1920,3220,3380,5160,5180,5600,5680,2080,3520,3560,3880,3980,4300,5320,400,840,920,1240,2560,3420,3460,3500,4260,4980,5240,5280,6540,6820,620,680,760,1260,1580,1800
HOG(RGB)+S2HOG(RGB)[S]_round0;20;1825417;631;1763;0.011217;0.000346;0.030722;0.011217;0.016434;1.682667;0.988783;2.094894;-25.800000;1960,3640,4820,2160,2480,6920,2920,2960,6400,2440,3860,2260,4120,5860,7160,2300,3520,1920,3220,3380,5160,5180,5600,5680,840,2080,3560,3880,3980,4300,5320,240,400,760,920,1240,2560,3420,3460,3500,4260,4980,5240,5280,5800,6540,6820,620,680,1260
HOG(RGB)+S2HOG(RGB)[S]_round0;22;1825391;657;1761;0.012339;0.000360;0.032401;0.012339;0.017872;1.752000;0.987661;2.094894;-25.600000;1960,3640,4820,2160,2480,2960,6400,6920,2920,2440,3860,2260,3520,4120,5860,7160,1920,2300,3220,3380,5160,5180,5240,5320,5600,5680,840,2080,3560,3880,3980,4300,4980,6540,240,400,760,920,1240,2560,2640,2800,3420,3460,3500,4260,5280,5800,6820,620
HOG(RGB)+S2HOG(RGB)[S]_round0;23;1825359;689;1760;0.012900;0.000377;0.032303;0.012900;0.018437;1.837333;0.987100;2.094894;-25.400000;1960,3640,4820,2160,2480,6400,2960,6920,2920,2440,3860,2260,3520,4120,5160,5320,5860,7160,1920,2300,3220,5240,920,3380,3500,3880,5180,5600,5680,840,2080,2560,3560,3980,4260,4300,4980,6540,240,400,760,1240,1260,2140,2640,2800,3420,3460,5280,5800
HOG(RGB)+S2HOG(RGB)[S]_round0;23;1825324;724;1760;0.012900;0.000396;0.030790;0.012900;0.018182;1.930667;0.987100;2.094894;-25.200000;1960,3640,4820,2160,6400,2480,2920,2960,6920,2440,3860,2260,3520,5160,1920,4120,5320,5860,7160,2300,3220,5240,920,3380,3500,3880,3980,5180,5600,5680,6540,240,840,2080,2560,2640,3560,4260,4300,4720,4980,5280,5840,400,620,760,1240,1260,1800,2140
HOG(RGB)+S2HOG(RGB)[S]_round0;24;1825299;749;1759;0.013460;0.000410;0.031048;0.013460;0.018779;1.997333;0.986540;2.094894;-25.000000;1960,3640,4820,2160,6400,6920,2480,2920,2960,2440,3860,1920,2260,3520,5160,5860,4120,5320,7160,2300,3220,3500,3880,5240,5600,920,3380,3980,5180,5680,6540,240,840,2080,2560,2640,3560,4260,4300,4720,4980,5280,5800,5840,400,620,760,1240,1260,1800
HOG(RGB)+S2HOG(RGB)[S]_round0;26;1825270;778;1757;0.014582;0.000426;0.032338;0.014582;0.020101;2.074667;0.985418;2.094894;-24.800000;1960,3640,2160,4820,6400,6920,2480,2920,2960,2440,3860,5860,1920,2260,3520,5160,3500,4120,5320,7160,840,2300,3220,3880,5240,5600,5680,240,920,3380,3560,3980,5180,5840,6540,2080,2140,2560,2640,4260,4300,4720,4980,5280,5800,400,620,680,760,1240
HOG(RGB)+S2HOG(RGB)[S]_round0;28;1825232;816;1755;0.015704;0.000447;0.033175;0.015704;0.021317;2.176000;0.984296;2.094894;-24.600000;1960,3640,4820,2160,6400,6920,2440,2480,2920,2960,3860,5860,1920,2260,3520,3880,5160,5240,2300,3500,4120,5320,7160,840,3220,3560,5600,5680,240,920,3380,3980,4720,5180,5840,6540,760,1240,1260,2080,2140,2560,2640,4260,4300,4980,5280,5800,400,620
HOG(RGB)+S2HOG(RGB)[S]_round0;30;1825187;861;1753;0.016826;0.000472;0.033670;0.016826;0.022438;2.296000;0.983174;2.094894;-24.400000;1960,3640,4820,2160,6400,2440,2480,2960,6920,2920,5860,3860,4120,1920,2260,3520,3880,5160,5240,840,2300,3500,5320,7160,760,3220,3380,3560,3980,5600,5680,240,920,1240,2080,4720,5180,5840,6540,1260,2140,2560,2640,4260,4300,4980,5280,5800,7420,400
HOG(RGB)+S2HOG(RGB)[S]_round0;30;1825150;898;1753;0.016826;0.000492;0.032328;0.016826;0.022132;2.394667;0.983174;2.094894;-24.200000;1960,3640,4820,2160,6400,2440,2960,2480,6920,2920,5860,3860,4120,840,1920,2260,3520,3880,5160,5240,5840,2300,3500,5320,7160,240,760,3220,3380,3560,3980,5600,5680,7420,920,1240,2080,2560,2640,4720,5180,6540,1260,2140,2800,4260,4300,4980,5280,5800
HOG(RGB)+S2HOG(RGB)[S]_round0;33;1825108;940;1750;0.018508;0.000515;0.033916;0.018508;0.023948;2.506667;0.981492;2.094894;-24.000000;1960,3640,4820,2160,6400,2440,2960,6920,2480,2920,5860,3860,4120,840,2260,3520,3880,1920,5160,5240,5320,5840,7160,2300,3380,3500,5680,240,760,1240,3220,3560,3980,4720,5600,7420,920,2080,2560,2640,4980,5180,5280,5800,6540,400,1260,1540,1800,2140
HOG(RGB)+S2HOG(RGB)[S]_round0;35;1825059;989;1748;0.019630;0.000542;0.034180;0.019630;0.024938;2.637333;0.980370;2.094894;-23.800000;1960,3640,4820,2160,6400,2920,2440,2960,6920,2480,5860,3860,2260,4120,840,3520,3880,760,1920,5160,5240,5320,5840,7160,240,2300,3380,3500,4980,5680,1240,2560,3220,3560,3980,4720,5380,5600,7420,920,2080,2640,2800,5180,5280,5800,6540,400,1260,1540
HOG(RGB)+S2HOG(RGB)[S]_round0;36;1825011;1037;1747;0.020191;0.000568;0.033551;0.020191;0.025210;2.765333;0.979809;2.094894;-23.600000;1960,3640,4820,2160,6400,2920,2960,6920,2440,2480,3860,5860,2260,3880,4120,5160,840,3520,7160,240,760,1920,3380,4980,5240,5320,5840,2300,2560,3220,3500,5680,1240,1800,3560,3980,4720,5180,5380,5600,7420,780,920,2080,2140,2640,2800,4260,5280,5800
HOG(RGB)+S2HOG(RGB)[S]_round0;37;1824950;1098;1746;0.020752;0.000601;0.032599;0.020752;0.025360;2.928000;0.979248;2.094894;-23.400000;1960,3640,4820,2160,6400,2920,2960,6920,2440,3860,2260,2480,5860,4120,5160,3880,760,840,1920,2300,3520,7160,240,2640,3220,3380,3500,4980,5240,5320,5840,2560,5180,5680,7420,620,920,1240,1800,3560,3980,4720,5380,5600,780,2080,2140,2800,3460,4260
