Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;FPPI;MissRate;EvaluationTimePerWindowMS;ValueShift;WorstFalsePositiveImages
HOG(RGB)[S]_round0;1;1825965;83;1782;0.000561;0.000045;0.011905;0.000561;0.001071;0.221333;0.999439;0.994835;-30.000000;3640,2160,1960,2440,3220,6920,780,400,2080,2260,2340,2960,3860,3980,4120,5280,680,1240,1500,1800,1840,2000,2060,2480,2920,3460,3500,3520,3540,3700,3740,3880,4100,4640,4860,4980,5180,5260,5840,5860,6040,6780,6820,7160,7260,7420,7480,0,1,2
HOG(RGB)[S]_round0;1;1825962;86;1782;0.000561;0.000047;0.011494;0.000561;0.001070;0.229333;0.999439;0.994835;-29.800000;3640,2160,1960,2440,3220,6920,780,400,2080,2260,2340,2480,2960,3860,3980,4120,5280,7160,680,1240,1500,1800,1840,2000,2060,2920,3460,3500,3520,3540,3700,3740,3880,4100,4640,4860,4980,5180,5260,5800,5840,5860,6040,6780,6820,7260,7420,7480,0,1
HOG(RGB)[S]_round0;1;1825957;91;1782;0.000561;0.000050;0.010870;0.000561;0.001067;0.242667;0.999439;0.994835;-29.600000;3640,2160,1960,2440,3220,6920,780,400,2080,2260,2340,2480,2960,3860,3980,4120,5280,7160,680,1240,1500,1800,1840,2000,2060,2920,3460,3500,3520,3540,3680,3700,3740,3880,4100,4640,4860,4980,5180,5240,5260,5800,5840,5860,6040,6400,6780,6820,7260,7420
HOG(RGB)[S]_round0;1;1825951;97;1782;0.000561;0.000053;0.010204;0.000561;0.001063;0.258667;0.999439;0.994835;-29.400000;3640,2160,1960,2440,3220,6920,780,400,1840,2080,2260,2340,2480,2960,3860,3980,4120,5280,7160,680,1240,1500,1800,2000,2060,2300,2920,3460,3500,3520,3540,3680,3700,3740,3880,4100,4640,4860,4980,5180,5240,5260,5300,5780,5800,5840,5860,6040,6400,6780
HOG(RGB)[S]_round0;1;1825948;100;1782;0.000561;0.000055;0.009901;0.000561;0.001062;0.266667;0.999439;0.994835;-29.200000;3640,2160,1960,6920,2440,3220,780,400,1840,2080,2260,2340,2480,2960,3860,3980,4120,5280,7160,680,1240,1500,1800,2000,2060,2300,2920,3460,3500,3520,3540,3680,3700,3740,3880,4100,4640,4860,4980,5160,5180,5240,5260,5300,5600,5780,5800,5840,5860,6040
HOG(RGB)[S]_round0;1;1825943;105;1782;0.000561;0.000058;0.009434;0.000561;0.001059;0.280000;0.999439;0.994835;-29.000000;3640,2160,1960,6920,2440,3220,780,2480,400,1840,2080,2260,2340,2960,3860,3980,4120,4860,5280,5600,7160,680,1240,1500,1800,2000,2060,2300,2920,3460,3500,3520,3540,3680,3700,3740,3880,4100,4160,4440,4640,4980,5160,5180,5240,5260,5300,5780,5800,5840
HOG(RGB)[S]_round0;1;1825933;115;1782;0.000561;0.000063;0.008621;0.000561;0.001053;0.306667;0.999439;0.994835;-28.800000;3640,2160,1960,6920,3220,2440,780,2340,2480,400,1840,2080,2260,2300,2960,3520,3860,3980,4120,4860,5280,5600,7160,680,1240,1500,1800,2000,2060,2800,2920,3320,3460,3500,3540,3680,3700,3740,3880,4100,4160,4440,4640,4980,5160,5180,5240,5260,5300,5780
HOG(RGB)[S]_round0;1;1825925;123;1782;0.000561;0.000067;0.008065;0.000561;0.001049;0.328000;0.999439;0.994835;-28.600000;3640,2160,1960,6920,3220,2440,780,2340,2480,4120,400,680,1840,2080,2260,2300,2800,2960,3520,3860,3980,4860,5280,5600,7160,160,460,840,1240,1500,1800,2000,2060,2920,3320,3460,3500,3540,3680,3700,3740,3820,3880,4100,4160,4440,4640,4980,5160,5180
HOG(RGB)[S]_round0;1;1825918;130;1782;0.000561;0.000071;0.007634;0.000561;0.001045;0.346667;0.999439;0.994835;-28.400000;3640,2160,6920,1960,3220,2440,4120,780,2340,2480,400,680,1840,2080,2260,2300,2800,2960,3520,3860,3980,4860,5280,5600,7160,160,460,760,840,1240,1500,1800,2000,2060,2560,2920,3020,3320,3460,3500,3540,3680,3700,3740,3820,3880,4100,4160,4440,4640
HOG(RGB)[S]_round0;1;1825909;139;1782;0.000561;0.000076;0.007143;0.000561;0.001040;0.370667;0.999439;0.994835;-28.200000;3640,2160,1960,6920,3220,2440,4120,780,2340,2480,6780,7160,400,680,1840,2080,2260,2300,2800,2960,3520,3860,3980,4860,5280,5600,160,460,720,760,840,1240,1500,1800,2000,2060,2140,2560,2920,3020,3320,3460,3500,3540,3680,3700,3740,3820,3880,4100
HOG(RGB)[S]_round0;1;1825905;143;1782;0.000561;0.000078;0.006944;0.000561;0.001038;0.381333;0.999439;0.994835;-28.000000;3640,2160,1960,6920,3220,2440,4120,7160,780,2340,2480,5600,6780,400,680,1840,2080,2260,2300,2800,2960,3520,3860,3980,4860,5280,160,460,720,760,840,1240,1500,1800,2000,2060,2140,2200,2560,2920,3020,3320,3460,3500,3540,3680,3700,3740,3820,3880
HOG(RGB)[S]_round0;2;1825898;150;1781;0.001122;0.000082;0.013158;0.001122;0.002067;0.400000;0.998878;0.994835;-27.800000;3640,2160,1960,6920,3220,2340,2440,4120,6780,7160,780,2480,5600,400,680,1840,2080,2260,2300,2800,2960,3520,3820,3860,3980,4860,5280,5840,160,460,720,760,840,1240,1500,1800,2000,2060,2140,2200,2560,2920,3020,3320,3460,3500,3540,3680,3700,3740
HOG(RGB)[S]_round0;2;1825886;162;1781;0.001122;0.000089;0.012195;0.001122;0.002054;0.432000;0.998878;0.994835;-27.600000;3640,2160,1960,6920,2480,2440,3220,2340,4120,5600,6780,7160,780,3860,400,680,840,1840,2080,2260,2300,2580,2800,2960,3520,3820,3980,4860,5280,5840,160,460,720,760,1240,1280,1500,1800,2000,2060,2140,2200,2560,2920,3020,3320,3460,3500,3540,3680
HOG(RGB)[S]_round0;3;1825880;168;1780;0.001683;0.000092;0.017544;0.001683;0.003071;0.448000;0.998317;0.994835;-27.400000;3640,2160,1960,6920,2440,2480,3220,4120,2340,5600,6780,7160,780,3860,5840,400,680,840,1840,2080,2260,2300,2580,2800,2960,3520,3820,3980,4860,5280,160,460,720,760,1240,1280,1500,1800,2000,2060,2140,2200,2560,2920,3020,3320,3460,3500,3540,3680
HOG(RGB)[S]_round0;3;1825871;177;1780;0.001683;0.000097;0.016667;0.001683;0.003057;0.472000;0.998317;0.994835;-27.200000;3640,2160,1960,6920,2440,2480,3220,4120,2340,5600,5840,6780,7160,780,2960,3520,3860,400,680,840,1800,1840,2080,2260,2300,2580,2800,3460,3820,3980,4860,5280,6400,160,460,720,760,920,1240,1280,1500,2000,2060,2140,2200,2560,2600,2920,3020,3320
HOG(RGB)[S]_round0;3;1825858;190;1780;0.001683;0.000104;0.015544;0.001683;0.003036;0.506667;0.998317;0.994835;-27.000000;3640,2160,1960,6920,2480,2440,4120,3220,2340,5600,5840,6780,7160,780,2960,3520,3860,3980,6400,400,680,840,1800,1840,1920,2000,2080,2260,2300,2580,2800,3460,3820,4860,5260,5280,7260,160,460,720,760,920,1240,1280,1500,2060,2140,2180,2200,2560
HOG(RGB)[S]_round0;3;1825848;200;1780;0.001683;0.000110;0.014778;0.001683;0.003021;0.533333;0.998317;0.994835;-26.800000;3640,2160,1960,6920,2480,2440,4120,3220,2340,5600,5840,6400,6780,7160,680,780,840,2960,3520,3860,3980,4980,400,1800,1840,1920,2000,2080,2260,2300,2580,2800,3460,3500,3820,4860,5240,5260,5280,7260,160,460,720,760,920,1240,1280,1500,2060,2140
HOG(RGB)[S]_round0;3;1825839;209;1780;0.001683;0.000114;0.014151;0.001683;0.003008;0.557333;0.998317;0.994835;-26.600000;3640,2160,1960,6920,2480,2440,4120,3220,2340,5600,5840,6400,6780,7160,680,780,840,2260,2960,3520,3860,3980,4980,400,1800,1840,1920,2000,2080,2300,2580,2800,3460,3500,3820,3880,4160,4860,5240,5260,5280,7260,7420,160,460,620,720,760,920,1240
HOG(RGB)[S]_round0;4;1825830;218;1779;0.002243;0.000119;0.018018;0.002243;0.003990;0.581333;0.997757;0.994835;-26.400000;3640,2160,1960,6920,2480,2440,4120,3220,5600,6780,2340,3520,5840,6400,7160,680,780,840,2260,2960,3860,3980,4980,400,1800,1840,1920,2000,2080,2200,2300,2560,2580,2800,3460,3500,3560,3820,3880,4160,4860,5240,5260,5280,7260,7420,120,160,460,620
HOG(RGB)[S]_round0;5;1825815;233;1778;0.002804;0.000128;0.021008;0.002804;0.004948;0.621333;0.997196;0.994835;-26.200000;3640,2160,6920,1960,2480,2440,4120,7160,3220,5600,6400,6780,840,2260,2340,3520,5840,680,780,2960,3860,3980,4980,400,1800,1840,1920,2000,2080,2200,2300,2560,2580,2800,3160,3460,3500,3560,3820,3880,4160,4260,4860,5240,5260,5280,6820,7260,7420,120
HOG(RGB)[S]_round0;5;1825802;246;1778;0.002804;0.000135;0.019920;0.002804;0.004916;0.656000;0.997196;0.994835;-26.000000;3640,1960,2160,6920,2480,2440,4120,7160,840,2260,3220,5600,6400,6780,2340,2960,3520,5840,680,780,2580,3860,3880,3980,4980,7260,400,1440,1800,1840,1920,2000,2080,2200,2300,2560,2800,3160,3460,3500,3560,3820,4160,4260,4860,5240,5260,5280,6820,7420
HOG(RGB)[S]_round0;5;1825791;257;1778;0.002804;0.000141;0.019084;0.002804;0.004890;0.685333;0.997196;0.994835;-25.800000;3640,6920,1960,2160,2480,2440,7160,4120,840,2260,3220,5600,6400,6780,2340,2960,3520,3860,5840,680,780,2580,2920,3500,3880,3980,4980,7260,7420,400,1280,1440,1800,1840,1920,2000,2080,2200,2300,2560,2800,3160,3460,3560,3820,4160,4260,4720,4860,5240
HOG(RGB)[S]_round0;5;1825786;262;1778;0.002804;0.000143;0.018727;0.002804;0.004878;0.698667;0.997196;0.994835;-25.600000;3640,2160,6920,1960,2480,2440,7160,840,4120,2260,3220,5600,6400,6780,2340,2960,3520,3860,5840,680,780,2580,2920,3500,3880,3980,4980,7260,7420,400,620,1280,1440,1800,1840,1920,2000,2080,2200,2300,2560,2800,3160,3420,3460,3560,3820,4100,4160,4260
HOG(RGB)[S]_round0;5;1825772;276;1778;0.002804;0.000151;0.017794;0.002804;0.004845;0.736000;0.997196;0.994835;-25.400000;3640,2160,6920,1960,2480,2440,7160,840,4120,6400,2260,2960,3220,5600,6780,2340,2920,3520,3860,3980,5840,7420,680,780,2080,2580,3500,3560,3880,4860,4980,7260,120,400,620,1280,1440,1600,1800,1840,1920,2000,2200,2300,2560,2800,3160,3420,3460,3820
HOG(RGB)[S]_round0;6;1825755;293;1777;0.003365;0.000160;0.020067;0.003365;0.005764;0.781333;0.996635;0.994835;-25.200000;3640,1960,2160,6920,2480,2440,6780,7160,840,4120,6400,2260,2960,3220,3520,5600,1600,2340,2920,3860,3980,5840,7420,680,780,1840,2080,2580,3500,3560,3880,4860,4980,7260,120,400,620,920,1280,1440,1800,1920,2000,2200,2300,2560,2800,3160,3380,3420
HOG(RGB)[S]_round0;6;1825746;302;1777;0.003365;0.000165;0.019481;0.003365;0.005739;0.805333;0.996635;0.994835;-25.000000;3640,1960,2160,6920,7160,2480,2440,6780,840,4120,5600,6400,2260,2960,3220,3520,7420,780,1600,2340,2920,3860,3980,5840,680,1840,1920,2080,2300,2580,3500,3560,3820,3880,4860,4980,7260,120,400,620,920,1280,1440,1800,2000,2200,2560,2800,3160,3380
HOG(RGB)[S]_round0;6;1825724;324;1777;0.003365;0.000177;0.018182;0.003365;0.005679;0.864000;0.996635;0.994835;-24.800000;3640,2160,1960,6920,7160,2480,2440,6400,6780,840,3520,4120,5600,2260,2960,3220,3980,5840,7420,780,1600,1920,2300,2340,2920,3860,680,1840,2080,2560,2580,3500,3560,3820,3880,4320,4820,4860,4980,7260,120,400,620,760,920,1280,1440,1800,2000,2200
HOG(RGB)[S]_round0;6;1825701;347;1777;0.003365;0.000190;0.016997;0.003365;0.005618;0.925333;0.996635;0.994835;-24.600000;3640,1960,2160,6920,7160,2480,6400,2440,4120,5600,6780,840,3520,5840,1920,2260,2960,3220,3980,7420,780,1600,2300,2340,2920,3860,680,1840,2080,2560,2580,3500,3560,3820,3880,4320,4820,4860,4980,5860,7260,120,400,620,760,920,1280,1440,1500,1800
HOG(RGB)[S]_round0;7;1825683;365;1776;0.003926;0.000200;0.018817;0.003926;0.006497;0.973333;0.996074;0.994835;-24.400000;3640,1960,2160,6920,7160,2480,4120,6400,2440,3520,5600,6780,840,2260,2960,5840,780,1920,3220,3980,7420,1600,2300,2340,2920,3860,3880,4820,5860,680,1840,2080,2560,2580,2800,3500,3560,3820,4320,4720,4860,4980,7260,120,400,620,760,920,1020,1240
HOG(RGB)[S]_round0;8;1825667;381;1775;0.004487;0.000209;0.020566;0.004487;0.007366;1.016000;0.995513;0.994835;-24.200000;3640,1960,2160,6920,7160,2480,4120,6400,2440,3520,5600,5840,6780,840,2260,2960,3220,780,1920,3860,3880,3980,7420,1600,2300,2340,2920,3500,4820,5860,680,1840,2060,2080,2560,2580,2640,2800,3560,3820,4100,4320,4720,4860,4980,5800,7260,120,400,620
HOG(RGB)[S]_round0;9;1825645;403;1774;0.005048;0.000221;0.021845;0.005048;0.008200;1.074667;0.994952;0.994835;-24.000000;3640,1960,2160,6920,7160,2480,6400,3520,4120,2260,2440,5600,5840,6780,780,840,2960,3220,3860,1920,3880,3980,4820,7420,680,1600,2300,2340,2640,2920,3500,3820,5860,1840,2060,2080,2560,2580,2800,3560,4100,4320,4440,4720,4860,4980,5160,5240,5800,7260
HOG(RGB)[S]_round0;10;1825627;421;1773;0.005609;0.000231;0.023202;0.005609;0.009033;1.122667;0.994391;0.994835;-23.800000;3640,1960,2160,6920,2480,6400,7160,2440,3520,4120,2260,5600,5840,6780,780,840,1920,2960,3220,3860,4820,2300,3880,3980,7420,680,1600,2340,2640,2920,3500,3560,3820,5860,1440,1840,2060,2080,2560,2580,2800,3280,4100,4320,4440,4720,4860,4980,5160,5180
HOG(RGB)[S]_round0;11;1825607;441;1772;0.006169;0.000242;0.024336;0.006169;0.009843;1.176000;0.993831;0.994835;-23.600000;3640,1960,2160,6920,6400,2480,7160,2440,3520,4120,840,2260,5600,5840,6780,780,1920,2960,3220,3860,4820,1600,2300,2340,3500,3560,3880,3980,7420,680,2580,2640,2920,3820,4720,5860,1440,1840,2060,2080,2560,2800,3280,4100,4320,4440,4860,4980,5140,5160
HOG(RGB)[S]_round0;11;1825585;463;1772;0.006169;0.000254;0.023207;0.006169;0.009747;1.234667;0.993831;0.994835;-23.400000;3640,1960,2160,6920,6400,2480,7160,4120,2440,2960,3520,780,840,2260,3220,5600,5840,6780,1920,3860,3880,4820,1600,2300,2340,3500,3560,3980,5240,7420,680,2580,2640,2920,3820,4720,5180,5860,1440,1800,1840,2060,2080,2560,2800,3160,3280,4100,4260,4320
